row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n32_k16_cw3_002_q00,code_n32_k16_cw3_002,q00,train,0.18,64,4,0.0625,2,0.03125,0.3125,0.03125
code_n32_k16_cw3_002_q01,code_n32_k16_cw3_002,q01,train,0.24,64,9,0.140625,4,0.0625,0.765625,0.0625
code_n32_k16_cw3_002_q02,code_n32_k16_cw3_002,q02,train,0.3,64,15,0.234375,6,0.09375,1.796875,0.09375
code_n32_k16_cw3_002_q03,code_n32_k16_cw3_002,q03,train,0.36,64,25,0.390625,7,0.109375,3.875,0.140625
code_n32_k16_cw3_003_q00,code_n32_k16_cw3_003,q00,validation,0.18,64,1,0.015625,0,0.0,0.09375,0.0
code_n32_k16_cw3_003_q01,code_n32_k16_cw3_003,q01,validation,0.24,64,9,0.140625,2,0.03125,1.109375,0.03125
code_n32_k16_cw3_003_q02,code_n32_k16_cw3_003,q02,validation,0.3,64,31,0.484375,15,0.234375,3.265625,0.25
code_n32_k16_cw3_003_q03,code_n32_k16_cw3_003,q03,validation,0.36,64,35,0.546875,19,0.296875,4.921875,0.4375
code_n32_k16_cw3_004_q00,code_n32_k16_cw3_004,q00,train,0.18,64,0,0.0,0,0.0,0.0,0.0
code_n32_k16_cw3_004_q01,code_n32_k16_cw3_004,q01,train,0.24,64,8,0.125,3,0.046875,1.015625,0.046875
code_n32_k16_cw3_004_q02,code_n32_k16_cw3_004,q02,train,0.3,64,17,0.265625,10,0.15625,2.171875,0.1875
code_n32_k16_cw3_004_q03,code_n32_k16_cw3_004,q03,train,0.36,64,29,0.453125,16,0.25,4.625,0.328125
code_n32_k16_cw3_005_q00,code_n32_k16_cw3_005,q00,train,0.18,64,5,0.078125,1,0.015625,0.421875,0.015625
code_n32_k16_cw3_005_q01,code_n32_k16_cw3_005,q01,train,0.24,64,9,0.140625,2,0.03125,0.859375,0.03125
code_n32_k16_cw3_005_q02,code_n32_k16_cw3_005,q02,train,0.3,64,23,0.359375,10,0.15625,2.609375,0.1875
code_n32_k16_cw3_005_q03,code_n32_k16_cw3_005,q03,train,0.36,64,33,0.515625,14,0.21875,4.359375,0.3125
code_n32_k16_cw3_006_q00,code_n32_k16_cw3_006,q00,train,0.18,64,0,0.0,0,0.0,0.0,0.0
code_n32_k16_cw3_006_q01,code_n32_k16_cw3_006,q01,train,0.24,64,4,0.0625,2,0.03125,0.390625,0.03125
code_n32_k16_cw3_006_q02,code_n32_k16_cw3_006,q02,train,0.3,64,16,0.25,3,0.046875,1.828125,0.046875
code_n32_k16_cw3_006_q03,code_n32_k16_cw3_006,q03,train,0.36,64,30,0.46875,10,0.15625,4.46875,0.1875
code_n32_k16_cw3_007_q00,code_n32_k16_cw3_007,q00,train,0.18,64,8,0.125,7,0.109375,0.390625,0.109375
code_n32_k16_cw3_007_q01,code_n32_k16_cw3_007,q01,train,0.24,64,7,0.109375,7,0.109375,0.375,0.109375
code_n32_k16_cw3_007_q02,code_n32_k16_cw3_007,q02,train,0.3,64,22,0.34375,8,0.125,2.703125,0.15625
code_n32_k16_cw3_007_q03,code_n32_k16_cw3_007,q03,train,0.36,64,33,0.515625,19,0.296875,4.28125,0.359375
