row_id,graph_id,q_id,split,q,K,z,disconnect_fraction
g_n16_m32_k3_015_q01,g_n16_m32_k3_015,q01,train,0.3,256,16,0.0625
g_n16_m32_k3_015_q02,g_n16_m32_k3_015,q02,train,0.4,256,52,0.203125
g_n16_m32_k3_015_q03,g_n16_m32_k3_015,q03,train,0.5,256,120,0.46875
g_n16_m32_k3_016_q00,g_n16_m32_k3_016,q00,validation,0.2,256,8,0.03125
g_n16_m32_k3_016_q01,g_n16_m32_k3_016,q01,validation,0.3,256,33,0.12890625
g_n16_m32_k3_016_q02,g_n16_m32_k3_016,q02,validation,0.4,256,72,0.28125
g_n16_m32_k3_016_q03,g_n16_m32_k3_016,q03,validation,0.5,256,127,0.49609375
g_n16_m32_k3_017_q00,g_n16_m32_k3_017,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_017_q01,g_n16_m32_k3_017,q01,train,0.3,256,7,0.02734375
g_n16_m32_k3_017_q02,g_n16_m32_k3_017,q02,train,0.4,256,29,0.11328125
g_n16_m32_k3_017_q03,g_n16_m32_k3_017,q03,train,0.5,256,68,0.265625
g_n16_m32_k3_018_q00,g_n16_m32_k3_018,q00,train,0.2,256,2,0.0078125
g_n16_m32_k3_018_q01,g_n16_m32_k3_018,q01,train,0.3,256,10,0.0390625
g_n16_m32_k3_018_q02,g_n16_m32_k3_018,q02,train,0.4,256,48,0.1875
g_n16_m32_k3_018_q03,g_n16_m32_k3_018,q03,train,0.5,256,90,0.3515625
g_n16_m32_k3_019_q00,g_n16_m32_k3_019,q00,validation,0.2,256,2,0.0078125
g_n16_m32_k3_019_q01,g_n16_m32_k3_019,q01,validation,0.3,256,11,0.04296875
g_n16_m32_k3_019_q02,g_n16_m32_k3_019,q02,validation,0.4,256,36,0.140625
g_n16_m32_k3_019_q03,g_n16_m32_k3_019,q03,validation,0.5,256,82,0.3203125
g_n16_m32_k3_020_q00,g_n16_m32_k3_020,q00,train,0.2,256,2,0.0078125
g_n16_m32_k3_020_q01,g_n16_m32_k3_020,q01,train,0.3,256,10,0.0390625
g_n16_m32_k3_020_q02,g_n16_m32_k3_020,q02,train,0.4,256,35,0.13671875
g_n16_m32_k3_020_q03,g_n16_m32_k3_020,q03,train,0.5,256,80,0.3125
g_n16_m32_k3_021_q00,g_n16_m32_k3_021,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_021_q01,g_n16_m32_k3_021,q01,train,0.3,256,10,0.0390625
g_n16_m32_k3_021_q02,g_n16_m32_k3_021,q02,train,0.4,256,31,0.12109375
g_n16_m32_k3_021_q03,g_n16_m32_k3_021,q03,train,0.5,256,80,0.3125
g_n16_m32_k3_022_q00,g_n16_m32_k3_022,q00,train,0.2,256,4,0.015625
g_n16_m32_k3_022_q01,g_n16_m32_k3_022,q01,train,0.3,256,19,0.07421875
g_n16_m32_k3_022_q02,g_n16_m32_k3_022,q02,train,0.4,256,64,0.25
g_n16_m32_k3_022_q03,g_n16_m32_k3_022,q03,train,0.5,256,115,0.44921875
g_n16_m32_k3_023_q00,g_n16_m32_k3_023,q00,test,0.2,256,9,0.03515625
g_n16_m32_k3_023_q01,g_n16_m32_k3_023,q01,test,0.3,256,26,0.1015625
g_n16_m32_k3_023_q02,g_n16_m32_k3_023,q02,test,0.4,256,63,0.24609375
g_n16_m32_k3_023_q03,g_n16_m32_k3_023,q03,test,0.5,256,126,0.4921875
g_n16_m32_k3_024_q00,g_n16_m32_k3_024,q00,train,0.2,256,4,0.015625
g_n16_m32_k3_024_q01,g_n16_m32_k3_024,q01,train,0.3,256,14,0.0546875
g_n16_m32_k3_024_q02,g_n16_m32_k3_024,q02,train,0.4,256,47,0.18359375
g_n16_m32_k3_024_q03,g_n16_m32_k3_024,q03,train,0.5,256,101,0.39453125
g_n16_m32_k3_025_q00,g_n16_m32_k3_025,q00,test,0.2,256,3,0.01171875
g_n16_m32_k3_025_q01,g_n16_m32_k3_025,q01,test,0.3,256,20,0.078125
g_n16_m32_k3_025_q02,g_n16_m32_k3_025,q02,test,0.4,256,61,0.23828125
g_n16_m32_k3_025_q03,g_n16_m32_k3_025,q03,test,0.5,256,113,0.44140625
g_n16_m32_k3_026_q00,g_n16_m32_k3_026,q00,test,0.2,256,7,0.02734375
g_n16_m32_k3_026_q01,g_n16_m32_k3_026,q01,test,0.3,256,16,0.0625
g_n16_m32_k3_026_q02,g_n16_m32_k3_026,q02,test,0.4,256,26,0.1015625
g_n16_m32_k3_026_q03,g_n16_m32_k3_026,q03,test,0.5,256,85,0.33203125
g_n16_m32_k3_027_q00,g_n16_m32_k3_027,q00,test,0.2,256,6,0.0234375
g_n16_m32_k3_027_q01,g_n16_m32_k3_027,q01,test,0.3,256,18,0.0703125
g_n16_m32_k3_027_q02,g_n16_m32_k3_027,q02,test,0.4,256,65,0.25390625
g_n16_m32_k3_027_q03,g_n16_m32_k3_027,q03,test,0.5,256,126,0.4921875
g_n16_m32_k3_028_q00,g_n16_m32_k3_028,q00,train,0.2,256,2,0.0078125
g_n16_m32_k3_028_q01,g_n16_m32_k3_028,q01,train,0.3,256,24,0.09375
g_n16_m32_k3_028_q02,g_n16_m32_k3_028,q02,train,0.4,256,61,0.23828125
g_n16_m32_k3_028_q03,g_n16_m32_k3_028,q03,train,0.5,256,129,0.50390625
g_n16_m32_k3_029_q00,g_n16_m32_k3_029,q00,test,0.2,256,4,0.015625
g_n16_m32_k3_029_q01,g_n16_m32_k3_029,q01,test,0.3,256,18,0.0703125
g_n16_m32_k3_029_q02,g_n16_m32_k3_029,q02,test,0.4,256,51,0.19921875
g_n16_m32_k3_029_q03,g_n16_m32_k3_029,q03,test,0.5,256,122,0.4765625
g_n16_m32_k3_030_q00,g_n16_m32_k3_030,q00,validation,0.2,256,7,0.02734375
g_n16_m32_k3_030_q01,g_n16_m32_k3_030,q01,validation,0.3,256,16,0.0625
g_n16_m32_k3_030_q02,g_n16_m32_k3_030,q02,validation,0.4,256,63,0.24609375
g_n16_m32_k3_030_q03,g_n16_m32_k3_030,q03,validation,0.5,256,125,0.48828125
g_n16_m32_k3_031_q00,g_n16_m32_k3_031,q00,train,0.2,256,2,0.0078125
g_n16_m32_k3_031_q01,g_n16_m32_k3_031,q01,train,0.3,256,19,0.07421875
g_n16_m32_k3_031_q02,g_n16_m32_k3_031,q02,train,0.4,256,46,0.1796875
g_n16_m32_k3_031_q03,g_n16_m32_k3_031,q03,train,0.5,256,101,0.39453125
g_n16_m32_k3_032_q00,g_n16_m32_k3_032,q00,validation,0.2,256,2,0.0078125
g_n16_m32_k3_032_q01,g_n16_m32_k3_032,q01,validation,0.3,256,11,0.04296875
g_n16_m32_k3_032_q02,g_n16_m32_k3_032,q02,validation,0.4,256,44,0.171875
g_n16_m32_k3_032_q03,g_n16_m32_k3_032,q03,validation,0.5,256,83,0.32421875
g_n16_m32_k3_033_q00,g_n16_m32_k3_033,q00,train,0.2,256,5,0.01953125
g_n16_m32_k3_033_q01,g_n16_m32_k3_033,q01,train,0.3,256,16,0.0625
g_n16_m32_k3_033_q02,g_n16_m32_k3_033,q02,train,0.4,256,45,0.17578125
g_n16_m32_k3_033_q03,g_n16_m32_k3_033,q03,train,0.5,256,120,0.46875
g_n16_m32_k3_034_q00,g_n16_m32_k3_034,q00,train,0.2,256,4,0.015625
g_n16_m32_k3_034_q01,g_n16_m32_k3_034,q01,train,0.3,256,16,0.0625
g_n16_m32_k3_034_q02,g_n16_m32_k3_034,q02,train,0.4,256,48,0.1875
g_n16_m32_k3_034_q03,g_n16_m32_k3_034,q03,train,0.5,256,92,0.359375
g_n16_m32_k3_035_q00,g_n16_m32_k3_035,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_035_q01,g_n16_m32_k3_035,q01,train,0.3,256,15,0.05859375
g_n16_m32_k3_035_q02,g_n16_m32_k3_035,q02,train,0.4,256,47,0.18359375
g_n16_m32_k3_035_q03,g_n16_m32_k3_035,q03,train,0.5,256,94,0.3671875
g_n16_m32_k3_036_q00,g_n16_m32_k3_036,q00,test,0.2,256,3,0.01171875
g_n16_m32_k3_036_q01,g_n16_m32_k3_036,q01,test,0.3,256,20,0.078125
g_n16_m32_k3_036_q02,g_n16_m32_k3_036,q02,test,0.4,256,41,0.16015625
g_n16_m32_k3_036_q03,g_n16_m32_k3_036,q03,test,0.5,256,110,0.4296875
g_n16_m32_k3_037_q00,g_n16_m32_k3_037,q00,validation,0.2,256,2,0.0078125
g_n16_m32_k3_037_q01,g_n16_m32_k3_037,q01,validation,0.3,256,16,0.0625
g_n16_m32_k3_037_q02,g_n16_m32_k3_037,q02,validation,0.4,256,33,0.12890625
g_n16_m32_k3_037_q03,g_n16_m32_k3_037,q03,validation,0.5,256,87,0.33984375
g_n16_m32_k3_038_q00,g_n16_m32_k3_038,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_038_q01,g_n16_m32_k3_038,q01,train,0.3,256,9,0.03515625
g_n16_m32_k3_038_q02,g_n16_m32_k3_038,q02,train,0.4,256,29,0.11328125
g_n16_m32_k3_038_q03,g_n16_m32_k3_038,q03,train,0.5,256,77,0.30078125
g_n16_m32_k3_039_q00,g_n16_m32_k3_039,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_039_q01,g_n16_m32_k3_039,q01,train,0.3,256,17,0.06640625
g_n16_m32_k3_039_q02,g_n16_m32_k3_039,q02,train,0.4,256,49,0.19140625
g_n16_m32_k3_039_q03,g_n16_m32_k3_039,q03,train,0.5,256,90,0.3515625
g_n20_m40_k3_000_q00,g_n20_m40_k3_000,q00,train,0.2,256,1,0.00390625
g_n20_m40_k3_000_q01,g_n20_m40_k3_000,q01,train,0.3,256,16,0.0625
g_n20_m40_k3_000_q02,g_n20_m40_k3_000,q02,train,0.4,256,48,0.1875
g_n20_m40_k3_000_q03,g_n20_m40_k3_000,q03,train,0.5,256,100,0.390625
g_n20_m40_k3_001_q00,g_n20_m40_k3_001,q00,validation,0.2,256,8,0.03125
g_n20_m40_k3_001_q01,g_n20_m40_k3_001,q01,validation,0.3,256,22,0.0859375
g_n20_m40_k3_001_q02,g_n20_m40_k3_001,q02,validation,0.4,256,54,0.2109375
g_n20_m40_k3_001_q03,g_n20_m40_k3_001,q03,validation,0.5,256,113,0.44140625
g_n20_m40_k3_002_q00,g_n20_m40_k3_002,q00,train,0.2,256,8,0.03125
g_n20_m40_k3_002_q01,g_n20_m40_k3_002,q01,train,0.3,256,21,0.08203125
g_n20_m40_k3_002_q02,g_n20_m40_k3_002,q02,train,0.4,256,52,0.203125
g_n20_m40_k3_002_q03,g_n20_m40_k3_002,q03,train,0.5,256,112,0.4375
g_n20_m40_k3_003_q00,g_n20_m40_k3_003,q00,validation,0.2,256,7,0.02734375
g_n20_m40_k3_003_q01,g_n20_m40_k3_003,q01,validation,0.3,256,21,0.08203125
g_n20_m40_k3_003_q02,g_n20_m40_k3_003,q02,validation,0.4,256,70,0.2734375
g_n20_m40_k3_003_q03,g_n20_m40_k3_003,q03,validation,0.5,256,114,0.4453125
g_n20_m40_k3_004_q00,g_n20_m40_k3_004,q00,train,0.2,256,6,0.0234375
g_n20_m40_k3_004_q01,g_n20_m40_k3_004,q01,train,0.3,256,24,0.09375
g_n20_m40_k3_004_q02,g_n20_m40_k3_004,q02,train,0.4,256,41,0.16015625
g_n20_m40_k3_004_q03,g_n20_m40_k3_004,q03,train,0.5,256,86,0.3359375
g_n20_m40_k3_005_q00,g_n20_m40_k3_005,q00,test,0.2,256,3,0.01171875
g_n20_m40_k3_005_q01,g_n20_m40_k3_005,q01,test,0.3,256,21,0.08203125
g_n20_m40_k3_005_q02,g_n20_m40_k3_005,q02,test,0.4,256,67,0.26171875
g_n20_m40_k3_005_q03,g_n20_m40_k3_005,q03,test,0.5,256,130,0.5078125
g_n20_m40_k3_006_q00,g_n20_m40_k3_006,q00,test,0.2,256,3,0.01171875
g_n20_m40_k3_006_q01,g_n20_m40_k3_006,q01,test,0.3,256,15,0.05859375
g_n20_m40_k3_006_q02,g_n20_m40_k3_006,q02,test,0.4,256,56,0.21875
g_n20_m40_k3_006_q03,g_n20_m40_k3_006,q03,test,0.5,256,121,0.47265625
g_n20_m40_k3_007_q00,g_n20_m40_k3_007,q00,train,0.2,256,11,0.04296875
g_n20_m40_k3_007_q01,g_n20_m40_k3_007,q01,train,0.3,256,34,0.1328125
g_n20_m40_k3_007_q02,g_n20_m40_k3_007,q02,train,0.4,256,73,0.28515625
g_n20_m40_k3_007_q03,g_n20_m40_k3_007,q03,train,0.5,256,141,0.55078125
g_n20_m40_k3_008_q00,g_n20_m40_k3_008,q00,train,0.2,256,4,0.015625
g_n20_m40_k3_008_q01,g_n20_m40_k3_008,q01,train,0.3,256,29,0.11328125
g_n20_m40_k3_008_q02,g_n20_m40_k3_008,q02,train,0.4,256,69,0.26953125
g_n20_m40_k3_008_q03,g_n20_m40_k3_008,q03,train,0.5,256,118,0.4609375
g_n20_m40_k3_009_q00,g_n20_m40_k3_009,q00,validation,0.2,256,7,0.02734375
g_n20_m40_k3_009_q01,g_n20_m40_k3_009,q01,validation,0.3,256,19,0.07421875
g_n20_m40_k3_009_q02,g_n20_m40_k3_009,q02,validation,0.4,256,59,0.23046875
g_n20_m40_k3_009_q03,g_n20_m40_k3_009,q03,validation,0.5,256,117,0.45703125
g_n20_m40_k3_010_q00,g_n20_m40_k3_010,q00,validation,0.2,256,4,0.015625
g_n20_m40_k3_010_q01,g_n20_m40_k3_010,q01,validation,0.3,256,25,0.09765625
g_n20_m40_k3_010_q02,g_n20_m40_k3_010,q02,validation,0.4,256,64,0.25
g_n20_m40_k3_010_q03,g_n20_m40_k3_010,q03,validation,0.5,256,121,0.47265625
g_n20_m40_k3_011_q00,g_n20_m40_k3_011,q00,validation,0.2,256,7,0.02734375
g_n20_m40_k3_011_q01,g_n20_m40_k3_011,q01,validation,0.3,256,20,0.078125
g_n20_m40_k3_011_q02,g_n20_m40_k3_011,q02,validation,0.4,256,43,0.16796875
g_n20_m40_k3_011_q03,g_n20_m40_k3_011,q03,validation,0.5,256,114,0.4453125
g_n20_m40_k3_012_q00,g_n20_m40_k3_012,q00,train,0.2,256,2,0.0078125
g_n20_m40_k3_012_q01,g_n20_m40_k3_012,q01,train,0.3,256,8,0.03125
g_n20_m40_k3_012_q02,g_n20_m40_k3_012,q02,train,0.4,256,36,0.140625
g_n20_m40_k3_012_q03,g_n20_m40_k3_012,q03,train,0.5,256,103,0.40234375
g_n20_m40_k3_013_q00,g_n20_m40_k3_013,q00,validation,0.2,256,5,0.01953125
g_n20_m40_k3_013_q01,g_n20_m40_k3_013,q01,validation,0.3,256,22,0.0859375
g_n20_m40_k3_013_q02,g_n20_m40_k3_013,q02,validation,0.4,256,66,0.2578125
g_n20_m40_k3_013_q03,g_n20_m40_k3_013,q03,validation,0.5,256,120,0.46875
g_n20_m40_k3_014_q00,g_n20_m40_k3_014,q00,train,0.2,256,2,0.0078125
g_n20_m40_k3_014_q01,g_n20_m40_k3_014,q01,train,0.3,256,12,0.046875
g_n20_m40_k3_014_q02,g_n20_m40_k3_014,q02,train,0.4,256,46,0.1796875
g_n20_m40_k3_014_q03,g_n20_m40_k3_014,q03,train,0.5,256,94,0.3671875
g_n20_m40_k3_015_q00,g_n20_m40_k3_015,q00,train,0.2,256,5,0.01953125
g_n20_m40_k3_015_q01,g_n20_m40_k3_015,q01,train,0.3,256,12,0.046875
g_n20_m40_k3_015_q02,g_n20_m40_k3_015,q02,train,0.4,256,50,0.1953125
g_n20_m40_k3_015_q03,g_n20_m40_k3_015,q03,train,0.5,256,120,0.46875
g_n20_m40_k3_016_q00,g_n20_m40_k3_016,q00,test,0.2,256,6,0.0234375
g_n20_m40_k3_016_q01,g_n20_m40_k3_016,q01,test,0.3,256,16,0.0625
g_n20_m40_k3_016_q02,g_n20_m40_k3_016,q02,test,0.4,256,61,0.23828125
g_n20_m40_k3_016_q03,g_n20_m40_k3_016,q03,test,0.5,256,111,0.43359375
g_n20_m40_k3_017_q00,g_n20_m40_k3_017,q00,validation,0.2,256,3,0.01171875
g_n20_m40_k3_017_q01,g_n20_m40_k3_017,q01,validation,0.3,256,5,0.01953125
g_n20_m40_k3_017_q02,g_n20_m40_k3_017,q02,validation,0.4,256,35,0.13671875
g_n20_m40_k3_017_q03,g_n20_m40_k3_017,q03,validation,0.5,256,78,0.3046875
g_n20_m40_k3_018_q00,g_n20_m40_k3_018,q00,train,0.2,256,5,0.01953125
g_n20_m40_k3_018_q01,g_n20_m40_k3_018,q01,train,0.3,256,30,0.1171875
g_n20_m40_k3_018_q02,g_n20_m40_k3_018,q02,train,0.4,256,51,0.19921875
g_n20_m40_k3_018_q03,g_n20_m40_k3_018,q03,train,0.5,256,112,0.4375
g_n20_m40_k3_019_q00,g_n20_m40_k3_019,q00,train,0.2,256,5,0.01953125
g_n20_m40_k3_019_q01,g_n20_m40_k3_019,q01,train,0.3,256,17,0.06640625
g_n20_m40_k3_019_q02,g_n20_m40_k3_019,q02,train,0.4,256,53,0.20703125
g_n20_m40_k3_019_q03,g_n20_m40_k3_019,q03,train,0.5,256,98,0.3828125
g_n20_m40_k3_020_q00,g_n20_m40_k3_020,q00,train,0.2,256,3,0.01171875
g_n20_m40_k3_020_q01,g_n20_m40_k3_020,q01,train,0.3,256,13,0.05078125
g_n20_m40_k3_020_q02,g_n20_m40_k3_020,q02,train,0.4,256,39,0.15234375
g_n20_m40_k3_020_q03,g_n20_m40_k3_020,q03,train,0.5,256,103,0.40234375
g_n20_m40_k3_021_q00,g_n20_m40_k3_021,q00,train,0.2,256,6,0.0234375
g_n20_m40_k3_021_q01,g_n20_m40_k3_021,q01,train,0.3,256,28,0.109375
g_n20_m40_k3_021_q02,g_n20_m40_k3_021,q02,train,0.4,256,62,0.2421875
g_n20_m40_k3_021_q03,g_n20_m40_k3_021,q03,train,0.5,256,144,0.5625
g_n20_m40_k3_022_q00,g_n20_m40_k3_022,q00,train,0.2,256,6,0.0234375
g_n20_m40_k3_022_q01,g_n20_m40_k3_022,q01,train,0.3,256,22,0.0859375
g_n20_m40_k3_022_q02,g_n20_m40_k3_022,q02,train,0.4,256,86,0.3359375
g_n20_m40_k3_022_q03,g_n20_m40_k3_022,q03,train,0.5,256,117,0.45703125
g_n20_m40_k3_023_q00,g_n20_m40_k3_023,q00,train,0.2,256,2,0.0078125
g_n20_m40_k3_023_q01,g_n20_m40_k3_023,q01,train,0.3,256,24,0.09375
g_n20_m40_k3_023_q02,g_n20_m40_k3_023,q02,train,0.4,256,44,0.171875
g_n20_m40_k3_023_q03,g_n20_m40_k3_023,q03,train,0.5,256,114,0.4453125
g_n20_m40_k3_024_q00,g_n20_m40_k3_024,q00,train,0.2,256,4,0.015625
g_n20_m40_k3_024_q01,g_n20_m40_k3_024,q01,train,0.3,256,14,0.0546875
g_n20_m40_k3_024_q02,g_n20_m40_k3_024,q02,train,0.4,256,49,0.19140625
g_n20_m40_k3_024_q03,g_n20_m40_k3_024,q03,train,0.5,256,106,0.4140625
g_n20_m40_k3_025_q00,g_n20_m40_k3_025,q00,train,0.2,256,5,0.01953125
g_n20_m40_k3_025_q01,g_n20_m40_k3_025,q01,train,0.3,256,14,0.0546875
g_n20_m40_k3_025_q02,g_n20_m40_k3_025,q02,train,0.4,256,32,0.125
g_n20_m40_k3_025_q03,g_n20_m40_k3_025,q03,train,0.5,256,81,0.31640625
g_n20_m40_k3_026_q00,g_n20_m40_k3_026,q00,test,0.2,256,3,0.01171875
g_n20_m40_k3_026_q01,g_n20_m40_k3_026,q01,test,0.3,256,14,0.0546875
g_n20_m40_k3_026_q02,g_n20_m40_k3_026,q02,test,0.4,256,46,0.1796875
g_n20_m40_k3_026_q03,g_n20_m40_k3_026,q03,test,0.5,256,118,0.4609375
g_n20_m40_k3_027_q00,g_n20_m40_k3_027,q00,train,0.2,256,3,0.01171875
g_n20_m40_k3_027_q01,g_n20_m40_k3_027,q01,train,0.3,256,9,0.03515625
g_n20_m40_k3_027_q02,g_n20_m40_k3_027,q02,train,0.4,256,19,0.07421875
g_n20_m40_k3_027_q03,g_n20_m40_k3_027,q03,train,0.5,256,75,0.29296875
g_n20_m40_k3_028_q00,g_n20_m40_k3_028,q00,test,0.2,256,3,0.01171875
g_n20_m40_k3_028_q01,g_n20_m40_k3_028,q01,test,0.3,256,10,0.0390625
g_n20_m40_k3_028_q02,g_n20_m40_k3_028,q02,test,0.4,256,49,0.19140625
g_n20_m40_k3_028_q03,g_n20_m40_k3_028,q03,test,0.5,256,102,0.3984375
g_n20_m40_k3_029_q00,g_n20_m40_k3_029,q00,test,0.2,256,2,0.0078125
g_n20_m40_k3_029_q01,g_n20_m40_k3_029,q01,test,0.3,256,14,0.0546875
g_n20_m40_k3_029_q02,g_n20_m40_k3_029,q02,test,0.4,256,36,0.140625
g_n20_m40_k3_029_q03,g_n20_m40_k3_029,q03,test,0.5,256,80,0.3125
g_n20_m40_k3_030_q00,g_n20_m40_k3_030,q00,validation,0.2,256,4,0.015625
g_n20_m40_k3_030_q01,g_n20_m40_k3_030,q01,validation,0.3,256,22,0.0859375
g_n20_m40_k3_030_q02,g_n20_m40_k3_030,q02,validation,0.4,256,48,0.1875
g_n20_m40_k3_030_q03,g_n20_m40_k3_030,q03,validation,0.5,256,121,0.47265625
g_n20_m40_k3_031_q00,g_n20_m40_k3_031,q00,test,0.2,256,3,0.01171875
g_n20_m40_k3_031_q01,g_n20_m40_k3_031,q01,test,0.3,256,18,0.0703125
g_n20_m40_k3_031_q02,g_n20_m40_k3_031,q02,test,0.4,256,46,0.1796875
g_n20_m40_k3_031_q03,g_n20_m40_k3_031,q03,test,0.5,256,104,0.40625
g_n20_m40_k3_032_q00,g_n20_m40_k3_032,q00,train,0.2,256,8,0.03125
g_n20_m40_k3_032_q01,g_n20_m40_k3_032,q01,train,0.3,256,26,0.1015625
