graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n16_m32_k3_014,validation,16,32,3,2.0,0,8,4269105898,"[[0, 1], [0, 2], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [1, 15], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 12], [5, 6], [6, 7], [6, 11], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 14], [11, 12], [11, 13], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_015,train,16,32,3,2.0,0,8,4269105899,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [2, 3], [2, 6], [2, 14], [3, 4], [3, 5], [3, 7], [3, 13], [4, 5], [4, 8], [5, 6], [6, 7], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [12, 15], [13, 14], [14, 15]]"
g_n16_m32_k3_016,validation,16,32,3,2.0,0,8,4269105900,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 6], [1, 15], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 7], [5, 6], [5, 9], [6, 7], [6, 13], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 13], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_017,train,16,32,3,2.0,0,8,4269105901,"[[0, 1], [0, 4], [0, 5], [0, 7], [0, 12], [1, 2], [1, 5], [1, 15], [2, 3], [2, 6], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [5, 6], [6, 7], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_018,train,16,32,3,2.0,0,8,4269105902,"[[0, 1], [0, 4], [0, 7], [0, 11], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 6], [3, 7], [4, 5], [4, 6], [4, 10], [5, 6], [5, 13], [6, 7], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 11], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [13, 15], [14, 15]]"
g_n16_m32_k3_019,validation,16,32,3,2.0,0,8,4269105903,"[[0, 1], [0, 4], [0, 6], [0, 7], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 7], [3, 12], [4, 5], [4, 7], [5, 6], [6, 7], [6, 11], [7, 8], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 14], [11, 12], [11, 14], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_020,train,16,32,3,2.0,0,8,4269105904,"[[0, 1], [0, 2], [0, 4], [0, 7], [0, 13], [1, 2], [1, 3], [1, 5], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [5, 6], [6, 7], [6, 11], [7, 8], [8, 9], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 12], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_021,train,16,32,3,2.0,0,8,4269105905,"[[0, 1], [0, 2], [0, 4], [0, 7], [0, 13], [1, 2], [1, 5], [1, 6], [2, 3], [2, 6], [2, 9], [3, 4], [3, 7], [4, 5], [5, 6], [6, 7], [6, 15], [8, 9], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 13], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_022,train,16,32,3,2.0,0,8,4269105906,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 3], [1, 5], [1, 14], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 7], [5, 6], [6, 7], [6, 12], [7, 9], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_023,test,16,32,3,2.0,0,8,4269105907,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [2, 3], [2, 6], [2, 7], [2, 14], [3, 4], [3, 7], [4, 5], [4, 9], [5, 6], [5, 11], [6, 7], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 13], [11, 15], [12, 13], [12, 14], [12, 15], [13, 14], [14, 15]]"
g_n16_m32_k3_024,train,16,32,3,2.0,0,8,4269105908,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 9], [2, 3], [2, 5], [2, 6], [2, 7], [2, 14], [3, 4], [3, 7], [3, 8], [4, 5], [5, 6], [6, 7], [8, 9], [8, 11], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [10, 11], [10, 12], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_025,test,16,32,3,2.0,0,8,4269105909,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 12], [2, 3], [2, 5], [2, 6], [3, 4], [3, 6], [3, 7], [4, 5], [5, 6], [5, 14], [6, 7], [6, 15], [8, 9], [8, 10], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_026,test,16,32,3,2.0,0,8,4269105910,"[[0, 1], [0, 2], [0, 4], [0, 7], [0, 10], [1, 2], [1, 5], [1, 6], [2, 3], [2, 6], [3, 4], [3, 7], [3, 8], [4, 5], [5, 6], [5, 14], [6, 7], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [10, 15], [11, 12], [11, 13], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_027,test,16,32,3,2.0,0,8,4269105911,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 15], [2, 3], [2, 6], [2, 14], [3, 4], [3, 5], [3, 7], [3, 11], [4, 5], [4, 7], [5, 6], [6, 7], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [12, 15], [13, 14], [14, 15]]"
g_n16_m32_k3_028,train,16,32,3,2.0,0,8,4269105912,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [1, 7], [2, 3], [2, 6], [2, 15], [3, 4], [3, 7], [4, 5], [4, 10], [5, 6], [6, 7], [6, 14], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 12], [10, 13], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_029,test,16,32,3,2.0,0,8,4269105913,"[[0, 1], [0, 3], [0, 4], [0, 7], [1, 2], [1, 5], [1, 13], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 7], [5, 6], [5, 10], [6, 7], [6, 8], [8, 9], [8, 12], [8, 15], [9, 10], [9, 12], [9, 13], [9, 14], [9, 15], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_030,validation,16,32,3,2.0,0,8,4269105914,"[[0, 1], [0, 3], [0, 4], [0, 6], [0, 7], [1, 2], [1, 5], [1, 11], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 15], [5, 6], [6, 7], [6, 13], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [9, 15], [10, 11], [10, 14], [11, 12], [11, 13], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_031,train,16,32,3,2.0,0,8,4269105915,"[[0, 1], [0, 4], [0, 6], [0, 7], [1, 2], [1, 5], [2, 3], [2, 6], [2, 9], [3, 4], [3, 6], [3, 7], [3, 12], [4, 5], [5, 6], [6, 7], [7, 13], [8, 9], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_032,validation,16,32,3,2.0,0,8,4269105916,"[[0, 1], [0, 4], [0, 5], [0, 7], [1, 2], [1, 5], [1, 10], [2, 3], [2, 6], [3, 4], [3, 6], [3, 7], [4, 5], [4, 12], [5, 6], [5, 8], [6, 7], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 14], [11, 12], [11, 14], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_033,train,16,32,3,2.0,0,8,4269105917,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [2, 3], [2, 6], [2, 8], [3, 4], [3, 6], [3, 7], [4, 5], [5, 6], [5, 12], [6, 7], [7, 9], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 12], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_034,train,16,32,3,2.0,0,8,4269105918,"[[0, 1], [0, 4], [0, 7], [0, 10], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6], [3, 7], [3, 9], [4, 5], [5, 6], [5, 8], [6, 7], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [12, 15], [13, 14], [14, 15]]"
g_n16_m32_k3_035,train,16,32,3,2.0,0,8,4269105919,"[[0, 1], [0, 4], [0, 7], [0, 14], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 5], [3, 7], [4, 5], [4, 7], [5, 6], [5, 9], [6, 7], [6, 15], [8, 9], [8, 11], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_036,test,16,32,3,2.0,0,8,4269105920,"[[0, 1], [0, 4], [0, 5], [0, 7], [1, 2], [1, 5], [1, 9], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 7], [5, 6], [5, 10], [6, 7], [7, 13], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 14], [11, 12], [11, 13], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_037,validation,16,32,3,2.0,0,8,4269105921,"[[0, 1], [0, 2], [0, 4], [0, 7], [0, 9], [1, 2], [1, 4], [1, 5], [1, 13], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [5, 6], [5, 15], [6, 7], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [9, 15], [10, 11], [10, 13], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_038,train,16,32,3,2.0,0,8,4269105922,"[[0, 1], [0, 4], [0, 5], [0, 7], [0, 10], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [4, 6], [4, 9], [5, 6], [6, 7], [6, 8], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [9, 15], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_039,train,16,32,3,2.0,0,8,4269105923,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 7], [1, 8], [2, 3], [2, 6], [2, 7], [3, 4], [3, 7], [3, 10], [4, 5], [5, 6], [5, 15], [6, 7], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 11], [9, 13], [10, 11], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n20_m40_k3_000,train,20,40,3,2.0,0,10,2309723720,"[[0, 1], [0, 5], [0, 9], [0, 18], [1, 2], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [3, 9], [4, 5], [4, 7], [4, 9], [4, 16], [5, 6], [6, 7], [6, 9], [7, 8], [8, 9], [9, 12], [10, 11], [10, 15], [10, 16], [10, 19], [11, 12], [11, 16], [11, 18], [12, 13], [12, 17], [13, 14], [13, 15], [13, 18], [13, 19], [14, 15], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_001,validation,20,40,3,2.0,0,10,2309723721,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 6], [1, 7], [1, 8], [2, 3], [2, 7], [3, 4], [3, 8], [3, 12], [4, 5], [4, 7], [4, 9], [5, 6], [6, 7], [7, 8], [7, 14], [8, 9], [9, 11], [10, 11], [10, 15], [10, 17], [10, 19], [11, 12], [11, 13], [11, 16], [12, 13], [12, 17], [12, 18], [13, 14], [13, 18], [14, 15], [14, 18], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_002,train,20,40,3,2.0,0,10,2309723722,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 3], [1, 6], [1, 14], [2, 3], [2, 5], [2, 7], [3, 4], [3, 8], [4, 5], [4, 9], [5, 6], [5, 8], [5, 15], [6, 7], [7, 8], [8, 9], [8, 10], [10, 11], [10, 15], [10, 19], [11, 12], [11, 14], [11, 16], [11, 19], [12, 13], [12, 15], [12, 17], [13, 14], [13, 18], [14, 15], [14, 19], [15, 16], [16, 17], [17, 18], [17, 19], [18, 19]]"
g_n20_m40_k3_003,validation,20,40,3,2.0,0,10,2309723723,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 5], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [3, 19], [4, 5], [4, 6], [4, 9], [4, 18], [5, 6], [5, 8], [6, 7], [7, 8], [8, 9], [9, 15], [10, 11], [10, 13], [10, 15], [10, 19], [11, 12], [11, 16], [11, 17], [12, 13], [12, 17], [13, 14], [13, 16], [13, 18], [14, 15], [14, 19], [15, 16], [15, 18], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_004,train,20,40,3,2.0,0,10,2309723724,"[[0, 1], [0, 5], [0, 7], [0, 9], [0, 13], [1, 2], [1, 6], [1, 7], [1, 9], [1, 16], [2, 3], [2, 7], [3, 4], [3, 8], [4, 5], [4, 9], [5, 6], [6, 7], [7, 8], [7, 17], [8, 9], [10, 11], [10, 15], [10, 19], [11, 12], [11, 13], [11, 16], [11, 17], [12, 13], [12, 17], [13, 14], [13, 15], [13, 18], [14, 15], [14, 19], [15, 16], [15, 17], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_005,test,20,40,3,2.0,0,10,2309723725,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 6], [1, 14], [2, 3], [2, 7], [2, 17], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 9], [5, 6], [6, 7], [6, 9], [7, 8], [8, 9], [8, 10], [10, 11], [10, 15], [10, 19], [11, 12], [11, 15], [11, 16], [12, 13], [12, 17], [12, 19], [13, 14], [13, 18], [14, 15], [14, 18], [14, 19], [15, 16], [16, 17], [17, 18], [17, 19], [18, 19]]"
g_n20_m40_k3_006,test,20,40,3,2.0,0,10,2309723726,"[[0, 1], [0, 4], [0, 5], [0, 9], [1, 2], [1, 6], [2, 3], [2, 7], [2, 16], [3, 4], [3, 8], [3, 9], [3, 11], [4, 5], [4, 9], [5, 6], [6, 7], [6, 9], [7, 8], [8, 9], [9, 18], [10, 11], [10, 14], [10, 15], [10, 19], [11, 12], [11, 14], [11, 16], [12, 13], [12, 17], [13, 14], [13, 18], [14, 15], [14, 17], [14, 19], [15, 16], [16, 17], [17, 18], [17, 19], [18, 19]]"
g_n20_m40_k3_007,train,20,40,3,2.0,0,10,2309723727,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 3], [1, 5], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 5], [4, 8], [4, 9], [4, 14], [5, 6], [6, 7], [7, 8], [7, 12], [8, 9], [8, 15], [10, 11], [10, 15], [10, 19], [11, 12], [11, 15], [11, 16], [12, 13], [12, 17], [12, 18], [13, 14], [13, 17], [13, 18], [14, 15], [14, 16], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_008,train,20,40,3,2.0,0,10,2309723728,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 5], [4, 9], [4, 11], [5, 6], [5, 7], [5, 9], [6, 7], [6, 9], [7, 8], [7, 12], [8, 9], [8, 19], [10, 11], [10, 14], [10, 15], [10, 19], [11, 12], [11, 14], [11, 16], [12, 13], [12, 17], [12, 18], [13, 14], [13, 18], [14, 15], [14, 16], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_009,validation,20,40,3,2.0,0,10,2309723729,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 6], [1, 9], [2, 3], [2, 7], [2, 10], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 9], [5, 6], [5, 15], [6, 7], [7, 8], [7, 14], [8, 9], [10, 11], [10, 15], [10, 19], [11, 12], [11, 16], [11, 17], [12, 13], [12, 17], [12, 18], [13, 14], [13, 18], [13, 19], [14, 15], [14, 19], [15, 16], [16, 17], [16, 18], [17, 18], [18, 19]]"
g_n20_m40_k3_010,validation,20,40,3,2.0,0,10,2309723730,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 6], [1, 10], [2, 3], [2, 7], [2, 18], [3, 4], [3, 6], [3, 7], [3, 8], [3, 16], [4, 5], [4, 9], [5, 6], [6, 7], [6, 9], [7, 8], [8, 9], [10, 11], [10, 14], [10, 15], [10, 19], [11, 12], [11, 15], [11, 16], [11, 18], [12, 13], [12, 17], [13, 14], [13, 18], [14, 15], [14, 19], [15, 16], [16, 17], [16, 19], [17, 18], [18, 19]]"
g_n20_m40_k3_011,validation,20,40,3,2.0,0,10,2309723731,"[[0, 1], [0, 5], [0, 9], [1, 2], [1, 3], [1, 6], [1, 7], [2, 3], [2, 7], [3, 4], [3, 8], [4, 5], [4, 9], [4, 12], [5, 6], [5, 9], [5, 18], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [10, 15], [10, 19], [11, 12], [11, 16], [12, 13], [12, 16], [12, 17], [13, 14], [13, 18], [14, 15], [14, 18], [14, 19], [15, 16], [15, 18], [15, 19], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_012,train,20,40,3,2.0,0,10,2309723732,"[[0, 1], [0, 2], [0, 5], [0, 9], [0, 18], [1, 2], [1, 6], [1, 17], [2, 3], [2, 7], [2, 9], [3, 4], [3, 8], [4, 5], [4, 9], [5, 6], [5, 7], [6, 7], [7, 8], [8, 9], [8, 19], [10, 11], [10, 15], [10, 17], [10, 19], [11, 12], [11, 15], [11, 16], [12, 13], [12, 17], [12, 19], [13, 14], [13, 18], [14, 15], [14, 19], [15, 16], [16, 17], [16, 19], [17, 18], [18, 19]]"
g_n20_m40_k3_013,validation,20,40,3,2.0,0,10,2309723733,"[[0, 1], [0, 5], [0, 8], [0, 9], [0, 17], [1, 2], [1, 6], [2, 3], [2, 7], [2, 9], [3, 4], [3, 7], [3, 8], [3, 18], [4, 5], [4, 9], [4, 15], [5, 6], [6, 7], [7, 8], [8, 9], [10, 11], [10, 15], [10, 19], [11, 12], [11, 16], [12, 13], [12, 14], [12, 15], [12, 17], [12, 19], [13, 14], [13, 18], [13, 19], [14, 15], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_014,train,20,40,3,2.0,0,10,2309723734,"[[0, 1], [0, 3], [0, 5], [0, 9], [0, 18], [1, 2], [1, 5], [1, 6], [2, 3], [2, 7], [3, 4], [3, 8], [4, 5], [4, 6], [4, 9], [5, 6], [6, 7], [7, 8], [7, 11], [8, 9], [8, 13], [10, 11], [10, 13], [10, 14], [10, 15], [10, 19], [11, 12], [11, 14], [11, 16], [12, 13], [12, 17], [13, 14], [13, 17], [13, 18], [14, 15], [14, 19], [15, 16], [16, 17], [17, 18], [18, 19]]"
g_n20_m40_k3_015,train,20,40,3,2.0,0,10,2309723735,"[[0, 1], [0, 5], [0, 8], [0, 9], [1, 2], [1, 6], [1, 9], [2, 3], [2, 7], [2, 18], [3, 4], [3, 8], [3, 9], [4, 5], [4, 9], [4, 19], [5, 6], [6, 7], [7, 8], [8, 9], [9, 12], [10, 11], [10, 12], [10, 15], [10, 19], [11, 12], [11, 16], [12, 13], [12, 17], [13, 14], [13, 17], [13, 18], [14, 15], [14, 17], [14, 19], [15, 16], [15, 17], [16, 17], [17, 18], [18, 19]]"
