graph_id,state_id,split,horizon_fraction,h_steps,K,z,collapse_fraction
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p0,train,0.1,5,64,1,0.015625
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p0,train,0.15,8,64,6,0.09375
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p3,train,0.05,3,64,10,0.15625
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p3,train,0.1,5,64,17,0.265625
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p3,train,0.15,7,64,22,0.34375
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p5,train,0.05,3,64,7,0.109375
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p5,train,0.1,5,64,14,0.21875
g_n24_e48_k2_low_04,g_n24_e48_k2_low_04_p5,train,0.15,7,64,18,0.28125
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p0,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p0,train,0.15,8,64,12,0.1875
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p3,train,0.05,3,64,14,0.21875
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p3,train,0.1,5,64,21,0.328125
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p3,train,0.15,7,64,32,0.5
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p5,train,0.05,3,64,18,0.28125
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p5,train,0.1,5,64,25,0.390625
g_n24_e48_k2_low_05,g_n24_e48_k2_low_05_p5,train,0.15,7,64,34,0.53125
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p0,test,0.05,3,64,0,0.0
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p0,test,0.1,5,64,3,0.046875
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p0,test,0.15,8,64,9,0.140625
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p3,test,0.05,3,64,8,0.125
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p3,test,0.1,5,64,15,0.234375
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p3,test,0.15,7,64,21,0.328125
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p5,test,0.05,3,64,12,0.1875
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p5,test,0.1,5,64,23,0.359375
g_n24_e48_k2_low_06,g_n24_e48_k2_low_06_p5,test,0.15,7,64,34,0.53125
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p0,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p0,train,0.1,5,64,6,0.09375
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p0,train,0.15,8,64,14,0.21875
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p3,train,0.05,3,64,7,0.109375
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p3,train,0.1,5,64,18,0.28125
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p3,train,0.15,7,64,22,0.34375
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p5,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p5,train,0.1,5,64,4,0.0625
g_n24_e48_k2_low_07,g_n24_e48_k2_low_07_p5,train,0.15,7,64,12,0.1875
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p0,validation,0.05,3,64,0,0.0
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p0,validation,0.1,5,64,2,0.03125
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p0,validation,0.15,8,64,12,0.1875
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p3,validation,0.05,3,64,9,0.140625
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p3,validation,0.1,5,64,17,0.265625
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p3,validation,0.15,7,64,24,0.375
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p5,validation,0.05,3,64,17,0.265625
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p5,validation,0.1,5,64,32,0.5
g_n24_e48_k2_low_08,g_n24_e48_k2_low_08_p5,validation,0.15,7,64,40,0.625
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p0,validation,0.05,3,64,1,0.015625
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p0,validation,0.1,5,64,4,0.0625
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p0,validation,0.15,8,64,11,0.171875
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p3,validation,0.05,3,64,2,0.03125
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p3,validation,0.1,5,64,6,0.09375
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p3,validation,0.15,7,64,10,0.15625
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p5,validation,0.05,3,64,2,0.03125
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p5,validation,0.1,5,64,8,0.125
g_n24_e48_k2_low_09,g_n24_e48_k2_low_09_p5,validation,0.15,7,64,16,0.25
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p0,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p0,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p0,train,0.15,8,64,12,0.1875
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p3,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p3,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p3,train,0.15,7,64,13,0.203125
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p5,train,0.05,3,64,3,0.046875
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p5,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_10,g_n24_e48_k2_low_10_p5,train,0.15,7,64,16,0.25
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p0,train,0.1,5,64,0,0.0
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p0,train,0.15,8,64,6,0.09375
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p3,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p3,train,0.1,5,64,10,0.15625
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p3,train,0.15,7,64,17,0.265625
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p5,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p5,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_11,g_n24_e48_k2_low_11_p5,train,0.15,7,64,12,0.1875
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p0,train,0.05,3,64,3,0.046875
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p0,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p0,train,0.15,8,64,16,0.25
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p3,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p3,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p3,train,0.15,7,64,9,0.140625
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p5,train,0.05,3,64,4,0.0625
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p5,train,0.1,5,64,14,0.21875
g_n24_e48_k2_low_12,g_n24_e48_k2_low_12_p5,train,0.15,7,64,27,0.421875
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p0,validation,0.05,3,64,1,0.015625
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p0,validation,0.1,5,64,2,0.03125
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p0,validation,0.15,8,64,11,0.171875
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p3,validation,0.05,3,64,2,0.03125
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p3,validation,0.1,5,64,6,0.09375
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p3,validation,0.15,7,64,14,0.21875
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p5,validation,0.05,3,64,4,0.0625
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p5,validation,0.1,5,64,9,0.140625
g_n24_e48_k2_low_13,g_n24_e48_k2_low_13_p5,validation,0.15,7,64,17,0.265625
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p0,test,0.05,3,64,0,0.0
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p0,test,0.1,5,64,3,0.046875
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p0,test,0.15,8,64,12,0.1875
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p3,test,0.05,3,64,6,0.09375
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p3,test,0.1,5,64,13,0.203125
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p3,test,0.15,7,64,18,0.28125
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p5,test,0.05,3,64,1,0.015625
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p5,test,0.1,5,64,5,0.078125
g_n24_e48_k2_low_14,g_n24_e48_k2_low_14_p5,test,0.15,7,64,9,0.140625
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p0,train,0.1,5,64,3,0.046875
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p0,train,0.15,8,64,13,0.203125
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p3,train,0.05,3,64,14,0.21875
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p3,train,0.1,5,64,24,0.375
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p3,train,0.15,7,64,31,0.484375
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p5,train,0.05,3,64,13,0.203125
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p5,train,0.1,5,64,24,0.375
g_n24_e48_k2_low_15,g_n24_e48_k2_low_15_p5,train,0.15,7,64,31,0.484375
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p0,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p0,train,0.15,8,64,7,0.109375
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p3,train,0.05,3,64,8,0.125
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p3,train,0.1,5,64,13,0.203125
g_n24_e48_k2_low_16,g_n24_e48_k2_low_16_p3,train,0.15,7,64,18,0.28125
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p0,train,0.1,5,64,1,0.015625
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p0,train,0.15,8,64,5,0.078125
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p3,train,0.05,3,64,4,0.0625
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p3,train,0.1,5,64,7,0.109375
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p3,train,0.15,7,64,14,0.21875
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p5,train,0.05,3,64,10,0.15625
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p5,train,0.1,5,64,18,0.28125
g_n24_e48_k2_low_17,g_n24_e48_k2_low_17_p5,train,0.15,7,64,32,0.5
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p0,test,0.05,3,64,2,0.03125
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p0,test,0.1,5,64,3,0.046875
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p0,test,0.15,8,64,12,0.1875
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p3,test,0.05,3,64,5,0.078125
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p3,test,0.1,5,64,11,0.171875
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p3,test,0.15,7,64,15,0.234375
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p5,test,0.05,3,64,16,0.25
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p5,test,0.1,5,64,29,0.453125
g_n24_e48_k2_low_18,g_n24_e48_k2_low_18_p5,test,0.15,7,64,40,0.625
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p0,test,0.05,3,64,4,0.0625
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p0,test,0.1,5,64,9,0.140625
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p0,test,0.15,8,64,18,0.28125
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p5,test,0.05,3,64,7,0.109375
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p5,test,0.1,5,64,14,0.21875
g_n24_e48_k2_low_19,g_n24_e48_k2_low_19_p5,test,0.15,7,64,21,0.328125
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p0,train,0.1,5,64,1,0.015625
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p0,train,0.15,8,64,9,0.140625
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p3,train,0.05,3,64,12,0.1875
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p3,train,0.1,5,64,23,0.359375
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p3,train,0.15,7,64,31,0.484375
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p5,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p5,train,0.1,5,64,6,0.09375
g_n24_e48_k2_low_20,g_n24_e48_k2_low_20_p5,train,0.15,7,64,11,0.171875
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p0,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p0,train,0.1,5,64,6,0.09375
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p0,train,0.15,8,64,16,0.25
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p3,train,0.05,3,64,7,0.109375
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p3,train,0.1,5,64,10,0.15625
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p3,train,0.15,7,64,21,0.328125
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p5,train,0.05,3,64,7,0.109375
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p5,train,0.1,5,64,20,0.3125
g_n24_e48_k2_low_21,g_n24_e48_k2_low_21_p5,train,0.15,7,64,28,0.4375
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p0,validation,0.05,3,64,0,0.0
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p0,validation,0.1,5,64,2,0.03125
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p0,validation,0.15,8,64,13,0.203125
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p3,validation,0.05,3,64,1,0.015625
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p3,validation,0.1,5,64,8,0.125
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p3,validation,0.15,7,64,14,0.21875
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p5,validation,0.05,3,64,4,0.0625
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p5,validation,0.1,5,64,11,0.171875
g_n24_e48_k2_low_22,g_n24_e48_k2_low_22_p5,validation,0.15,7,64,17,0.265625
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p0,test,0.05,3,64,1,0.015625
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p0,test,0.1,5,64,2,0.03125
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p0,test,0.15,8,64,7,0.109375
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p3,test,0.05,3,64,1,0.015625
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p3,test,0.1,5,64,3,0.046875
g_n24_e48_k2_low_23,g_n24_e48_k2_low_23_p3,test,0.15,7,64,10,0.15625
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p0,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p0,train,0.15,8,64,12,0.1875
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p3,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p3,train,0.1,5,64,2,0.03125
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p3,train,0.15,7,64,11,0.171875
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p5,train,0.05,3,64,12,0.1875
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p5,train,0.1,5,64,20,0.3125
g_n24_e48_k2_low_24,g_n24_e48_k2_low_24_p5,train,0.15,7,64,33,0.515625
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p0,train,0.05,3,64,0,0.0
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p0,train,0.1,5,64,8,0.125
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p0,train,0.15,8,64,17,0.265625
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p3,train,0.05,3,64,5,0.078125
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p3,train,0.1,5,64,10,0.15625
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p3,train,0.15,7,64,15,0.234375
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p5,train,0.05,3,64,2,0.03125
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p5,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_25,g_n24_e48_k2_low_25_p5,train,0.15,7,64,14,0.21875
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p0,train,0.1,5,64,3,0.046875
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p0,train,0.15,8,64,9,0.140625
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p3,train,0.05,3,64,12,0.1875
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p3,train,0.1,5,64,20,0.3125
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p3,train,0.15,7,64,33,0.515625
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p5,train,0.05,3,64,13,0.203125
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p5,train,0.1,5,64,21,0.328125
g_n24_e48_k2_low_26,g_n24_e48_k2_low_26_p5,train,0.15,7,64,34,0.53125
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p0,validation,0.05,3,64,0,0.0
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p0,validation,0.1,5,64,1,0.015625
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p0,validation,0.15,8,64,11,0.171875
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p3,validation,0.05,3,64,7,0.109375
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p3,validation,0.1,5,64,10,0.15625
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p3,validation,0.15,7,64,16,0.25
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p5,validation,0.05,3,64,2,0.03125
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p5,validation,0.1,5,64,7,0.109375
g_n24_e48_k2_low_27,g_n24_e48_k2_low_27_p5,validation,0.15,7,64,15,0.234375
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p0,test,0.05,3,64,2,0.03125
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p0,test,0.1,5,64,2,0.03125
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p0,test,0.15,8,64,5,0.078125
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p3,test,0.05,3,64,9,0.140625
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p3,test,0.1,5,64,16,0.25
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p3,test,0.15,7,64,23,0.359375
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p5,test,0.05,3,64,7,0.109375
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p5,test,0.1,5,64,9,0.140625
g_n24_e48_k2_low_28,g_n24_e48_k2_low_28_p5,test,0.15,7,64,17,0.265625
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p0,train,0.1,5,64,5,0.078125
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p0,train,0.15,8,64,12,0.1875
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p3,train,0.05,3,64,4,0.0625
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p3,train,0.1,5,64,10,0.15625
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p3,train,0.15,7,64,20,0.3125
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p5,train,0.05,3,64,8,0.125
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p5,train,0.1,5,64,19,0.296875
g_n24_e48_k2_low_29,g_n24_e48_k2_low_29_p5,train,0.15,7,64,29,0.453125
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p0,train,0.05,3,64,1,0.015625
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p0,train,0.1,5,64,1,0.015625
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p0,train,0.15,8,64,10,0.15625
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p3,train,0.05,3,64,0,0.0
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p3,train,0.1,5,64,6,0.09375
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p3,train,0.15,7,64,9,0.140625
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p5,train,0.05,3,64,7,0.109375
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p5,train,0.1,5,64,15,0.234375
g_n24_e48_k2_mid_30,g_n24_e48_k2_mid_30_p5,train,0.15,7,64,22,0.34375
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p0,test,0.05,3,64,1,0.015625
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p0,test,0.1,5,64,2,0.03125
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p0,test,0.15,8,64,7,0.109375
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p3,test,0.05,3,64,1,0.015625
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p3,test,0.1,5,64,2,0.03125
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p3,test,0.15,7,64,9,0.140625
g_n24_e48_k2_mid_31,g_n24_e48_k2_mid_31_p5,test,0.05,3,64,2,0.03125
