graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n16_m24_k2_012,train,16,24,2,1.5,0,8,2015466753,"[[0, 2], [0, 3], [0, 5], [0, 14], [1, 4], [1, 5], [2, 4], [2, 7], [2, 13], [3, 5], [3, 6], [3, 7], [6, 7], [8, 9], [8, 12], [8, 14], [9, 10], [9, 11], [9, 13], [10, 12], [11, 14], [11, 15], [12, 13], [12, 15]]"
g_n16_m24_k2_013,test,16,24,2,1.5,0,8,2015466754,"[[0, 1], [0, 2], [0, 3], [1, 4], [1, 9], [2, 3], [2, 6], [3, 4], [3, 6], [5, 6], [5, 7], [6, 7], [6, 14], [8, 14], [8, 15], [9, 11], [9, 12], [9, 14], [9, 15], [10, 11], [10, 12], [10, 13], [12, 15], [13, 15]]"
g_n16_m24_k2_014,train,16,24,2,1.5,0,8,2015466755,"[[0, 3], [0, 4], [0, 7], [1, 2], [1, 5], [1, 6], [2, 3], [2, 6], [3, 5], [3, 11], [4, 6], [5, 7], [5, 15], [8, 10], [8, 13], [8, 14], [8, 15], [9, 11], [9, 12], [10, 12], [10, 13], [10, 14], [11, 15], [12, 14]]"
g_n16_m24_k2_015,train,16,24,2,1.5,0,8,2015466756,"[[0, 1], [0, 6], [1, 5], [1, 7], [2, 3], [2, 5], [2, 6], [3, 4], [3, 6], [3, 13], [4, 5], [5, 7], [5, 9], [8, 10], [8, 11], [8, 15], [9, 10], [9, 13], [10, 11], [11, 12], [11, 13], [11, 14], [12, 15], [13, 14]]"
g_n16_m24_k2_016,validation,16,24,2,1.5,0,8,2015466757,"[[0, 1], [0, 2], [0, 3], [1, 2], [2, 5], [2, 6], [2, 14], [3, 4], [3, 7], [4, 5], [5, 7], [6, 7], [7, 8], [8, 12], [8, 13], [8, 14], [9, 11], [9, 13], [9, 15], [10, 11], [10, 15], [11, 14], [12, 15], [13, 15]]"
g_n16_m24_k2_017,validation,16,24,2,1.5,0,8,2015466758,"[[0, 1], [0, 4], [0, 5], [0, 6], [1, 2], [1, 6], [1, 7], [2, 7], [3, 5], [3, 6], [4, 6], [4, 10], [6, 9], [8, 9], [8, 11], [8, 14], [9, 10], [9, 12], [9, 15], [10, 12], [11, 12], [11, 13], [11, 15], [13, 14]]"
g_n16_m24_k2_018,test,16,24,2,1.5,0,8,2015466759,"[[0, 1], [0, 5], [0, 6], [0, 7], [0, 10], [1, 6], [2, 3], [2, 4], [2, 5], [3, 5], [4, 5], [5, 7], [5, 8], [8, 9], [8, 11], [8, 13], [8, 14], [9, 12], [9, 14], [10, 11], [10, 15], [11, 12], [13, 15], [14, 15]]"
g_n16_m24_k2_019,train,16,24,2,1.5,0,8,2015466760,"[[0, 1], [0, 2], [1, 5], [2, 3], [2, 6], [2, 7], [3, 4], [3, 8], [4, 6], [4, 7], [5, 6], [5, 7], [5, 15], [8, 12], [8, 13], [8, 15], [9, 11], [9, 12], [9, 13], [10, 13], [10, 14], [10, 15], [11, 12], [14, 15]]"
g_n16_m24_k2_020,test,16,24,2,1.5,0,8,2015466761,"[[0, 5], [0, 6], [0, 7], [0, 14], [1, 3], [1, 5], [1, 6], [1, 7], [2, 4], [2, 5], [2, 6], [3, 4], [7, 9], [8, 9], [8, 11], [9, 10], [9, 13], [10, 12], [10, 15], [11, 12], [11, 14], [12, 13], [12, 15], [14, 15]]"
g_n16_m24_k2_021,test,16,24,2,1.5,0,8,2015466762,"[[0, 1], [0, 3], [0, 6], [1, 4], [1, 7], [2, 5], [2, 6], [2, 11], [3, 4], [3, 5], [4, 6], [4, 10], [5, 7], [8, 9], [8, 13], [8, 14], [9, 12], [10, 12], [10, 13], [10, 15], [11, 14], [11, 15], [12, 14], [13, 14]]"
g_n16_m24_k2_022,train,16,24,2,1.5,0,8,2015466763,"[[0, 1], [0, 2], [0, 4], [1, 4], [1, 7], [2, 4], [2, 14], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 13], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 15], [11, 12], [11, 13], [11, 15], [13, 14], [14, 15]]"
g_n16_m24_k2_023,train,16,24,2,1.5,0,8,2015466764,"[[0, 3], [0, 7], [1, 3], [1, 4], [1, 5], [1, 6], [2, 5], [2, 7], [3, 7], [3, 13], [4, 7], [5, 6], [6, 11], [8, 9], [8, 14], [9, 10], [9, 13], [9, 14], [10, 11], [10, 14], [11, 12], [11, 15], [12, 14], [13, 15]]"
g_n16_m24_k2_024,train,16,24,2,1.5,0,8,2015466765,"[[0, 2], [0, 3], [1, 6], [1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [4, 5], [5, 6], [5, 7], [5, 8], [6, 9], [8, 10], [8, 11], [8, 12], [9, 12], [9, 13], [9, 14], [9, 15], [10, 11], [10, 15], [12, 15], [13, 14]]"
g_n16_m24_k2_025,train,16,24,2,1.5,0,8,2015466766,"[[0, 1], [0, 4], [1, 3], [2, 3], [2, 4], [2, 5], [2, 7], [2, 9], [3, 6], [3, 15], [4, 5], [4, 6], [4, 7], [8, 10], [8, 11], [8, 14], [9, 10], [9, 14], [9, 15], [10, 14], [11, 12], [12, 13], [12, 15], [13, 14]]"
g_n16_m24_k2_026,test,16,24,2,1.5,0,8,2015466767,"[[0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 4], [1, 5], [1, 8], [3, 5], [3, 6], [3, 7], [6, 7], [6, 13], [8, 9], [8, 13], [8, 14], [9, 10], [10, 12], [10, 13], [10, 14], [11, 12], [11, 15], [12, 15], [14, 15]]"
g_n16_m24_k2_027,train,16,24,2,1.5,0,8,2015466768,"[[0, 2], [0, 4], [1, 3], [1, 7], [2, 4], [2, 6], [3, 4], [4, 7], [4, 8], [5, 6], [5, 7], [6, 7], [7, 13], [8, 9], [8, 11], [8, 14], [9, 10], [9, 14], [9, 15], [10, 11], [11, 15], [12, 13], [12, 15], [13, 14]]"
g_n16_m24_k2_028,train,16,24,2,1.5,0,8,2015466769,"[[0, 2], [0, 4], [0, 14], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 12], [3, 6], [4, 6], [5, 7], [6, 7], [8, 9], [8, 10], [8, 13], [8, 15], [9, 10], [9, 14], [10, 12], [11, 12], [11, 13], [11, 15], [12, 14]]"
g_n16_m24_k2_029,train,16,24,2,1.5,0,8,2015466770,"[[0, 2], [0, 6], [0, 7], [1, 5], [1, 6], [2, 4], [2, 6], [3, 4], [3, 5], [4, 6], [4, 7], [4, 15], [7, 13], [8, 9], [8, 10], [8, 14], [9, 10], [9, 12], [9, 13], [10, 11], [11, 15], [12, 13], [12, 14], [13, 15]]"
g_n16_m24_k2_030,train,16,24,2,1.5,0,8,2015466771,"[[0, 2], [0, 4], [0, 5], [0, 6], [1, 2], [1, 3], [1, 5], [1, 7], [2, 8], [3, 4], [3, 6], [3, 7], [5, 10], [8, 11], [8, 14], [9, 10], [9, 11], [9, 12], [9, 13], [9, 15], [10, 11], [10, 14], [11, 13], [12, 15]]"
g_n16_m24_k2_031,train,16,24,2,1.5,0,8,2015466772,"[[0, 1], [0, 2], [0, 7], [1, 5], [1, 6], [1, 7], [1, 14], [2, 6], [3, 5], [3, 7], [4, 5], [4, 6], [6, 12], [8, 10], [8, 11], [8, 12], [8, 14], [9, 10], [9, 13], [10, 14], [10, 15], [11, 15], [12, 15], [13, 15]]"
g_n16_m24_k2_032,test,16,24,2,1.5,0,8,2015466773,"[[0, 2], [0, 4], [0, 6], [0, 7], [0, 13], [1, 2], [1, 6], [2, 5], [2, 6], [3, 5], [3, 7], [3, 11], [4, 7], [8, 9], [8, 11], [8, 15], [9, 10], [9, 12], [9, 15], [10, 14], [11, 12], [11, 13], [12, 13], [13, 14]]"
g_n16_m24_k2_033,validation,16,24,2,1.5,0,8,2015466774,"[[0, 2], [0, 5], [0, 6], [0, 7], [0, 15], [1, 4], [1, 5], [1, 6], [1, 7], [2, 4], [3, 4], [3, 5], [5, 14], [8, 9], [8, 12], [8, 14], [8, 15], [9, 11], [9, 14], [10, 13], [10, 14], [10, 15], [11, 12], [12, 13]]"
g_n16_m24_k2_034,train,16,24,2,1.5,0,8,2015466775,"[[0, 1], [0, 2], [0, 5], [1, 3], [1, 4], [1, 5], [2, 4], [2, 6], [2, 12], [3, 4], [3, 7], [3, 9], [6, 7], [8, 11], [8, 13], [8, 15], [9, 10], [9, 11], [9, 12], [9, 15], [10, 13], [10, 14], [11, 12], [12, 14]]"
g_n16_m24_k2_035,validation,16,24,2,1.5,0,8,2015466776,"[[0, 4], [0, 5], [0, 7], [1, 2], [1, 6], [2, 3], [2, 5], [2, 7], [2, 13], [3, 4], [3, 6], [3, 7], [3, 14], [8, 11], [8, 12], [8, 13], [9, 12], [9, 14], [10, 11], [10, 15], [11, 14], [11, 15], [12, 13], [12, 15]]"
g_n16_m24_k2_036,train,16,24,2,1.5,0,8,2015466777,"[[0, 2], [0, 4], [1, 3], [1, 7], [2, 3], [3, 4], [4, 5], [4, 6], [4, 10], [5, 6], [5, 7], [6, 7], [6, 13], [8, 9], [8, 10], [8, 15], [9, 11], [9, 14], [9, 15], [10, 14], [11, 12], [12, 13], [12, 14], [13, 15]]"
g_n16_m24_k2_037,validation,16,24,2,1.5,0,8,2015466778,"[[0, 5], [0, 6], [0, 7], [1, 3], [1, 4], [2, 3], [2, 4], [2, 6], [4, 5], [4, 6], [5, 7], [5, 9], [6, 15], [8, 10], [8, 11], [9, 11], [9, 15], [10, 11], [10, 12], [10, 13], [11, 15], [12, 13], [12, 14], [13, 14]]"
g_n16_m24_k2_038,validation,16,24,2,1.5,0,8,2015466779,"[[0, 3], [0, 7], [1, 5], [1, 6], [2, 4], [2, 6], [3, 4], [3, 6], [3, 11], [4, 5], [4, 8], [5, 6], [5, 7], [8, 9], [8, 12], [9, 12], [9, 13], [9, 15], [10, 11], [10, 14], [10, 15], [11, 13], [12, 15], [14, 15]]"
g_n16_m24_k2_039,train,16,24,2,1.5,0,8,2015466780,"[[0, 1], [0, 6], [1, 5], [2, 3], [2, 4], [2, 7], [3, 4], [3, 5], [3, 7], [3, 15], [4, 5], [4, 13], [5, 6], [8, 9], [8, 11], [8, 15], [9, 10], [9, 14], [9, 15], [10, 13], [11, 12], [11, 13], [12, 13], [14, 15]]"
g_n20_m30_k2_000,test,20,30,2,1.5,0,10,56084577,"[[0, 1], [0, 3], [0, 5], [0, 9], [1, 2], [1, 8], [1, 10], [2, 4], [3, 4], [4, 5], [5, 6], [5, 7], [6, 8], [7, 9], [8, 9], [9, 11], [10, 13], [10, 14], [10, 15], [10, 17], [11, 12], [11, 14], [11, 18], [12, 13], [13, 18], [14, 16], [14, 17], [15, 19], [16, 17], [17, 19]]"
g_n20_m30_k2_001,train,20,30,2,1.5,0,10,56084578,"[[0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [1, 15], [2, 4], [2, 6], [2, 7], [2, 8], [3, 5], [3, 7], [3, 19], [6, 9], [8, 9], [10, 12], [10, 18], [11, 12], [11, 13], [12, 13], [12, 14], [12, 15], [13, 18], [14, 15], [14, 16], [15, 18], [16, 17], [17, 19], [18, 19]]"
g_n20_m30_k2_002,validation,20,30,2,1.5,0,10,56084579,"[[0, 3], [0, 7], [1, 5], [1, 9], [2, 3], [2, 7], [3, 4], [3, 5], [3, 9], [4, 6], [4, 7], [4, 8], [4, 9], [4, 15], [6, 8], [7, 10], [10, 14], [10, 17], [10, 19], [11, 14], [11, 15], [11, 18], [12, 14], [12, 16], [13, 14], [13, 16], [14, 17], [15, 16], [16, 19], [17, 18]]"
g_n20_m30_k2_003,train,20,30,2,1.5,0,10,56084580,"[[0, 1], [0, 3], [0, 4], [1, 6], [1, 7], [1, 9], [2, 8], [2, 9], [3, 5], [4, 8], [5, 7], [6, 7], [6, 9], [7, 18], [8, 9], [9, 16], [10, 11], [10, 15], [11, 16], [11, 17], [11, 19], [12, 13], [12, 16], [13, 14], [13, 18], [14, 18], [14, 19], [15, 17], [16, 18], [17, 18]]"
g_n20_m30_k2_004,train,20,30,2,1.5,0,10,56084581,"[[0, 5], [0, 6], [1, 2], [1, 8], [2, 3], [2, 7], [3, 4], [3, 7], [3, 8], [3, 9], [4, 9], [5, 8], [5, 19], [6, 8], [6, 9], [9, 16], [10, 13], [10, 15], [10, 16], [11, 15], [11, 18], [12, 14], [12, 18], [13, 14], [13, 17], [13, 18], [16, 18], [16, 19], [17, 19], [18, 19]]"
g_n20_m30_k2_005,test,20,30,2,1.5,0,10,56084582,"[[0, 6], [0, 7], [0, 8], [0, 9], [1, 6], [1, 7], [1, 8], [2, 3], [2, 9], [3, 4], [3, 13], [4, 6], [5, 6], [5, 8], [6, 9], [9, 12], [10, 12], [10, 18], [10, 19], [11, 12], [11, 16], [11, 17], [12, 14], [13, 15], [13, 17], [13, 19], [14, 15], [16, 17], [17, 19], [18, 19]]"
g_n20_m30_k2_006,test,20,30,2,1.5,0,10,56084583,"[[0, 1], [0, 3], [0, 5], [0, 7], [0, 9], [0, 11], [1, 4], [1, 8], [1, 14], [2, 7], [2, 9], [3, 5], [4, 6], [4, 8], [5, 6], [5, 8], [10, 17], [10, 18], [10, 19], [11, 13], [11, 15], [12, 14], [12, 18], [12, 19], [13, 17], [14, 15], [15, 16], [15, 18], [16, 18], [17, 19]]"
g_n20_m30_k2_007,validation,20,30,2,1.5,0,10,56084584,"[[0, 1], [0, 7], [0, 8], [1, 3], [1, 9], [2, 6], [2, 7], [3, 5], [3, 15], [4, 5], [4, 8], [5, 7], [6, 7], [6, 9], [7, 9], [7, 12], [10, 12], [10, 19], [11, 14], [11, 17], [12, 14], [13, 16], [13, 17], [14, 17], [15, 16], [15, 18], [16, 17], [16, 18], [16, 19], [18, 19]]"
g_n20_m30_k2_008,train,20,30,2,1.5,0,10,56084585,"[[0, 1], [0, 4], [0, 6], [1, 6], [1, 19], [2, 5], [2, 6], [2, 8], [3, 5], [3, 8], [3, 9], [4, 6], [4, 7], [4, 10], [5, 7], [8, 9], [10, 11], [10, 18], [11, 15], [11, 16], [11, 19], [12, 13], [12, 15], [12, 17], [12, 18], [13, 14], [14, 19], [15, 16], [15, 17], [15, 19]]"
g_n20_m30_k2_009,train,20,30,2,1.5,0,10,56084586,"[[0, 1], [0, 7], [1, 2], [1, 3], [1, 5], [2, 6], [2, 7], [3, 5], [4, 5], [4, 9], [4, 12], [6, 9], [7, 8], [7, 9], [8, 9], [8, 14], [10, 17], [10, 18], [11, 16], [11, 17], [12, 14], [12, 17], [12, 19], [13, 18], [13, 19], [14, 15], [15, 18], [15, 19], [16, 17], [16, 18]]"
g_n20_m30_k2_010,validation,20,30,2,1.5,0,10,56084587,"[[0, 1], [0, 4], [0, 5], [1, 2], [1, 7], [1, 8], [2, 8], [3, 7], [3, 8], [4, 7], [5, 6], [5, 9], [5, 17], [6, 8], [6, 14], [7, 9], [10, 14], [10, 15], [10, 17], [10, 19], [11, 13], [11, 14], [11, 15], [11, 16], [12, 13], [12, 14], [15, 18], [16, 18], [17, 18], [17, 19]]"
g_n20_m30_k2_011,test,20,30,2,1.5,0,10,56084588,"[[0, 2], [0, 6], [0, 8], [1, 2], [1, 3], [1, 6], [1, 7], [2, 5], [2, 6], [3, 8], [3, 11], [4, 5], [4, 7], [4, 9], [5, 19], [7, 9], [10, 16], [10, 19], [11, 12], [11, 13], [11, 14], [12, 17], [13, 16], [13, 17], [13, 18], [14, 15], [14, 19], [15, 16], [16, 19], [18, 19]]"
g_n20_m30_k2_012,train,20,30,2,1.5,0,10,56084589,"[[0, 1], [0, 2], [0, 3], [0, 7], [1, 3], [1, 4], [1, 8], [2, 5], [2, 18], [3, 4], [4, 7], [4, 9], [5, 6], [6, 8], [6, 9], [7, 14], [10, 13], [10, 16], [11, 14], [11, 16], [12, 13], [12, 15], [12, 16], [12, 18], [13, 14], [13, 15], [15, 16], [15, 19], [17, 18], [17, 19]]"
g_n20_m30_k2_013,train,20,30,2,1.5,0,10,56084590,"[[0, 2], [0, 4], [1, 5], [1, 6], [1, 8], [2, 5], [2, 16], [3, 5], [3, 6], [3, 7], [4, 7], [5, 7], [5, 8], [5, 9], [7, 9], [9, 14], [10, 11], [10, 12], [10, 19], [11, 12], [11, 15], [13, 17], [13, 19], [14, 16], [14, 17], [14, 18], [15, 18], [15, 19], [16, 19], [17, 18]]"
g_n20_m30_k2_014,train,20,30,2,1.5,0,10,56084591,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 8], [1, 6], [2, 6], [2, 7], [3, 6], [3, 7], [4, 9], [5, 7], [5, 9], [5, 14], [8, 9], [9, 19], [10, 13], [10, 19], [11, 12], [11, 14], [11, 18], [11, 19], [12, 13], [12, 16], [13, 14], [13, 17], [13, 18], [14, 15], [15, 16], [17, 18]]"
g_n20_m30_k2_015,train,20,30,2,1.5,0,10,56084592,"[[0, 3], [0, 4], [0, 6], [1, 2], [1, 8], [2, 5], [3, 4], [3, 5], [3, 7], [3, 12], [4, 5], [4, 8], [5, 9], [6, 9], [6, 14], [7, 8], [10, 11], [10, 18], [11, 19], [12, 14], [12, 15], [12, 16], [12, 17], [12, 18], [13, 14], [13, 15], [13, 16], [16, 18], [16, 19], [17, 19]]"
g_n20_m30_k2_016,train,20,30,2,1.5,0,10,56084593,"[[0, 1], [0, 9], [1, 3], [2, 6], [2, 8], [3, 4], [3, 7], [3, 19], [4, 6], [4, 8], [4, 9], [5, 6], [5, 9], [6, 7], [6, 8], [7, 17], [10, 11], [10, 12], [10, 19], [11, 13], [11, 16], [11, 18], [11, 19], [12, 15], [13, 14], [14, 15], [14, 17], [15, 19], [16, 17], [17, 18]]"
g_n20_m30_k2_017,train,20,30,2,1.5,0,10,56084594,"[[0, 5], [0, 9], [1, 3], [1, 5], [1, 9], [2, 4], [2, 5], [2, 9], [2, 16], [3, 7], [3, 8], [4, 7], [5, 6], [5, 17], [6, 9], [7, 8], [10, 13], [10, 14], [10, 17], [11, 13], [11, 17], [11, 18], [12, 13], [12, 16], [13, 14], [13, 18], [14, 19], [15, 16], [15, 18], [16, 19]]"
g_n20_m30_k2_018,test,20,30,2,1.5,0,10,56084595,"[[0, 1], [0, 2], [0, 8], [0, 9], [1, 9], [2, 4], [2, 6], [2, 9], [3, 5], [3, 7], [4, 5], [4, 6], [4, 8], [4, 15], [7, 9], [9, 19], [10, 16], [10, 18], [10, 19], [11, 12], [11, 14], [11, 17], [11, 19], [12, 13], [12, 15], [13, 14], [13, 15], [14, 19], [15, 18], [16, 17]]"
g_n20_m30_k2_019,train,20,30,2,1.5,0,10,56084596,"[[0, 3], [0, 4], [0, 9], [1, 7], [1, 8], [2, 4], [2, 6], [3, 4], [3, 7], [4, 5], [5, 8], [6, 8], [6, 9], [7, 14], [8, 9], [9, 10], [10, 11], [10, 14], [10, 16], [10, 17], [10, 18], [11, 12], [12, 17], [13, 18], [13, 19], [14, 15], [14, 18], [14, 19], [15, 19], [16, 17]]"
g_n20_m30_k2_020,train,20,30,2,1.5,0,10,56084597,"[[0, 3], [0, 8], [1, 4], [1, 5], [1, 7], [2, 5], [2, 9], [3, 5], [3, 6], [3, 8], [4, 6], [4, 17], [5, 7], [5, 16], [7, 8], [8, 9], [10, 12], [10, 18], [11, 14], [11, 17], [12, 13], [12, 15], [12, 17], [13, 15], [13, 18], [14, 16], [15, 17], [16, 19], [17, 18], [18, 19]]"
g_n20_m30_k2_021,test,20,30,2,1.5,0,10,56084598,"[[0, 4], [0, 5], [1, 5], [1, 7], [1, 8], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 5], [3, 9], [4, 7], [6, 9], [6, 19], [8, 16], [10, 12], [10, 17], [11, 12], [11, 15], [11, 17], [12, 13], [12, 17], [12, 19], [13, 14], [13, 15], [14, 19], [15, 16], [16, 18], [18, 19]]"
g_n20_m30_k2_022,test,20,30,2,1.5,0,10,56084599,"[[0, 1], [0, 4], [0, 8], [0, 9], [0, 15], [1, 4], [1, 6], [2, 4], [2, 5], [3, 4], [3, 6], [5, 9], [6, 7], [6, 9], [7, 8], [9, 18], [10, 14], [10, 19], [11, 13], [11, 15], [11, 19], [12, 16], [12, 18], [13, 15], [14, 19], [15, 16], [15, 17], [15, 19], [16, 17], [16, 18]]"
g_n20_m30_k2_023,validation,20,30,2,1.5,0,10,56084600,"[[0, 2], [0, 6], [0, 8], [1, 3], [1, 9], [1, 15], [2, 5], [2, 7], [3, 5], [3, 8], [3, 9], [4, 5], [4, 6], [4, 7], [5, 7], [9, 11], [10, 12], [10, 17], [11, 13], [11, 14], [12, 13], [12, 15], [12, 16], [14, 15], [14, 16], [14, 17], [14, 18], [15, 18], [15, 19], [16, 19]]"
g_n20_m30_k2_024,train,20,30,2,1.5,0,10,56084601,"[[0, 5], [0, 6], [1, 2], [1, 4], [1, 9], [1, 16], [2, 4], [3, 4], [3, 6], [4, 6], [4, 8], [4, 9], [5, 7], [7, 9], [7, 15], [8, 9], [10, 11], [10, 13], [10, 14], [10, 17], [10, 18], [10, 19], [11, 12], [11, 18], [12, 16], [13, 15], [14, 16], [15, 18], [16, 17], [17, 19]]"
g_n20_m30_k2_025,validation,20,30,2,1.5,0,10,56084602,"[[0, 6], [0, 7], [0, 8], [1, 2], [1, 6], [2, 6], [2, 7], [3, 4], [3, 5], [3, 7], [4, 6], [5, 9], [5, 15], [7, 8], [7, 9], [7, 12], [10, 12], [10, 17], [10, 18], [11, 12], [11, 15], [11, 16], [12, 15], [13, 14], [13, 18], [14, 17], [14, 19], [15, 18], [16, 17], [18, 19]]"
g_n20_m30_k2_026,train,20,30,2,1.5,0,10,56084603,"[[0, 1], [0, 2], [0, 18], [1, 2], [2, 4], [2, 5], [2, 6], [3, 7], [3, 9], [4, 8], [4, 9], [5, 7], [6, 7], [6, 8], [7, 9], [7, 17], [10, 12], [10, 14], [10, 15], [11, 12], [11, 17], [12, 13], [12, 15], [12, 18], [13, 15], [13, 16], [14, 18], [14, 19], [15, 19], [16, 17]]"
g_n20_m30_k2_027,train,20,30,2,1.5,0,10,56084604,"[[0, 7], [0, 8], [0, 9], [1, 3], [1, 5], [1, 7], [1, 9], [1, 19], [2, 5], [2, 8], [3, 5], [3, 7], [4, 5], [4, 6], [4, 17], [6, 9], [10, 11], [10, 12], [10, 18], [11, 16], [11, 18], [11, 19], [12, 14], [13, 14], [13, 17], [15, 16], [15, 17], [15, 18], [16, 19], [18, 19]]"
g_n20_m30_k2_028,train,20,30,2,1.5,0,10,56084605,"[[0, 1], [0, 6], [1, 9], [2, 6], [2, 8], [3, 4], [3, 5], [3, 7], [3, 9], [4, 7], [5, 7], [5, 8], [6, 7], [6, 8], [7, 19], [8, 13], [10, 11], [10, 15], [11, 12], [11, 15], [11, 19], [12, 13], [12, 15], [13, 16], [14, 17], [14, 18], [15, 16], [15, 19], [16, 17], [16, 18]]"
g_n20_m30_k2_029,validation,20,30,2,1.5,0,10,56084606,"[[0, 2], [0, 6], [1, 3], [1, 7], [2, 5], [3, 6], [3, 9], [4, 5], [4, 6], [4, 8], [4, 14], [5, 8], [6, 7], [7, 9], [8, 9], [8, 13], [10, 14], [10, 15], [10, 17], [11, 16], [11, 18], [11, 19], [12, 16], [12, 19], [13, 14], [13, 19], [14, 18], [15, 16], [17, 18], [18, 19]]"
