graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n14_m28_k2_000,train,14,28,2,2.0,0,7,4041943617,"[[0, 3], [0, 4], [0, 5], [0, 6], [1, 2], [1, 4], [1, 5], [1, 9], [2, 3], [2, 4], [2, 5], [3, 4], [3, 6], [4, 6], [5, 10], [7, 8], [7, 9], [7, 11], [7, 12], [8, 10], [8, 11], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13], [12, 13]]"
g_n14_m28_k2_001,train,14,28,2,2.0,0,7,4041943618,"[[0, 1], [0, 2], [0, 5], [1, 3], [1, 4], [1, 13], [2, 4], [2, 5], [2, 6], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6], [5, 12], [7, 8], [7, 9], [7, 10], [8, 11], [8, 12], [8, 13], [9, 10], [9, 12], [9, 13], [10, 11], [10, 13], [11, 12], [11, 13]]"
g_n14_m28_k2_002,train,14,28,2,2.0,0,7,4041943619,"[[0, 1], [0, 2], [0, 4], [0, 6], [1, 2], [1, 4], [1, 6], [2, 3], [2, 5], [2, 6], [2, 8], [3, 5], [4, 5], [5, 6], [6, 7], [7, 9], [7, 13], [8, 10], [8, 12], [8, 13], [9, 11], [9, 12], [9, 13], [10, 12], [10, 13], [11, 12], [11, 13], [12, 13]]"
g_n14_m28_k2_003,test,14,28,2,2.0,0,7,4041943620,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 7], [1, 2], [1, 4], [1, 5], [1, 6], [1, 9], [2, 4], [2, 5], [3, 4], [3, 6], [4, 5], [7, 10], [7, 11], [7, 12], [7, 13], [8, 9], [8, 10], [8, 11], [8, 13], [9, 11], [9, 12], [10, 11], [10, 13], [11, 12]]"
g_n14_m28_k2_004,validation,14,28,2,2.0,0,7,4041943621,"[[0, 3], [0, 5], [0, 6], [0, 11], [1, 2], [1, 4], [1, 5], [1, 6], [2, 4], [2, 5], [2, 6], [3, 6], [4, 5], [4, 7], [5, 6], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [8, 9], [8, 12], [9, 10], [9, 12], [9, 13], [10, 11], [10, 12], [11, 12]]"
g_n14_m28_k3_000,train,14,28,3,2.0,0,7,4042943620,"[[0, 3], [0, 4], [0, 5], [0, 6], [1, 3], [1, 4], [1, 6], [1, 8], [2, 3], [2, 4], [2, 5], [3, 6], [4, 5], [5, 7], [6, 13], [7, 10], [7, 11], [7, 12], [7, 13], [8, 9], [8, 10], [8, 11], [8, 12], [9, 11], [9, 13], [10, 11], [10, 12], [11, 13]]"
g_n14_m28_k3_001,train,14,28,3,2.0,0,7,4042943621,"[[0, 1], [0, 2], [0, 4], [0, 6], [1, 3], [1, 6], [2, 3], [2, 4], [2, 5], [2, 11], [3, 5], [4, 5], [4, 12], [5, 6], [5, 7], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [8, 9], [8, 10], [8, 11], [8, 13], [9, 10], [10, 11], [10, 12], [12, 13]]"
g_n14_m28_k3_002,test,14,28,3,2.0,0,7,4042943622,"[[0, 1], [0, 4], [0, 5], [0, 6], [1, 3], [1, 4], [1, 5], [2, 4], [2, 5], [2, 6], [2, 8], [3, 5], [3, 6], [4, 12], [5, 10], [7, 9], [7, 11], [7, 12], [7, 13], [8, 9], [8, 10], [8, 11], [8, 13], [9, 11], [10, 11], [10, 12], [11, 12], [11, 13]]"
g_n14_m28_k3_003,train,14,28,3,2.0,0,7,4042943623,"[[0, 3], [0, 4], [0, 6], [1, 2], [1, 4], [1, 5], [2, 4], [2, 5], [2, 10], [3, 4], [3, 5], [3, 6], [4, 13], [5, 6], [6, 7], [7, 9], [7, 10], [7, 12], [7, 13], [8, 9], [8, 10], [8, 11], [9, 10], [9, 11], [10, 11], [10, 12], [11, 13], [12, 13]]"
g_n14_m28_k3_004,validation,14,28,3,2.0,0,7,4042943624,"[[0, 3], [0, 5], [0, 6], [1, 3], [1, 4], [1, 5], [1, 12], [2, 3], [2, 4], [2, 5], [3, 6], [4, 5], [5, 6], [5, 8], [6, 10], [7, 10], [7, 11], [7, 12], [8, 9], [8, 10], [8, 12], [8, 13], [9, 11], [9, 12], [10, 12], [10, 13], [11, 12], [11, 13]]"
