row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_015_q03,code_n24_k12_cw3_015,q03,train,0.36,128,61,0.4765625,26,0.203125,3.46875,0.2421875
code_n24_k12_cw3_016_q00,code_n24_k12_cw3_016,q00,train,0.18,128,11,0.0859375,9,0.0703125,0.3515625,0.0703125
code_n24_k12_cw3_016_q01,code_n24_k12_cw3_016,q01,train,0.24,128,16,0.125,11,0.0859375,0.515625,0.0859375
code_n24_k12_cw3_016_q02,code_n24_k12_cw3_016,q02,train,0.3,128,43,0.3359375,27,0.2109375,1.9609375,0.2421875
code_n24_k12_cw3_016_q03,code_n24_k12_cw3_016,q03,train,0.36,128,66,0.515625,37,0.2890625,3.546875,0.421875
code_n24_k12_cw3_017_q00,code_n24_k12_cw3_017,q00,train,0.18,128,16,0.125,12,0.09375,0.359375,0.09375
code_n24_k12_cw3_017_q01,code_n24_k12_cw3_017,q01,train,0.24,128,24,0.1875,10,0.078125,0.9765625,0.078125
code_n24_k12_cw3_017_q02,code_n24_k12_cw3_017,q02,train,0.3,128,47,0.3671875,32,0.25,1.9140625,0.265625
code_n24_k12_cw3_017_q03,code_n24_k12_cw3_017,q03,train,0.36,128,75,0.5859375,42,0.328125,3.90625,0.4453125
code_n24_k12_cw3_018_q00,code_n24_k12_cw3_018,q00,test,0.18,128,9,0.0703125,7,0.0546875,0.2578125,0.0546875
code_n24_k12_cw3_018_q01,code_n24_k12_cw3_018,q01,test,0.24,128,15,0.1171875,8,0.0625,0.5078125,0.0703125
code_n24_k12_cw3_018_q02,code_n24_k12_cw3_018,q02,test,0.3,128,43,0.3359375,19,0.1484375,1.9140625,0.15625
code_n24_k12_cw3_018_q03,code_n24_k12_cw3_018,q03,test,0.36,128,65,0.5078125,32,0.25,3.8046875,0.34375
code_n24_k12_cw3_019_q00,code_n24_k12_cw3_019,q00,train,0.18,128,9,0.0703125,8,0.0625,0.1875,0.0625
code_n24_k12_cw3_019_q01,code_n24_k12_cw3_019,q01,train,0.24,128,14,0.109375,5,0.0390625,0.5703125,0.0390625
code_n24_k12_cw3_019_q02,code_n24_k12_cw3_019,q02,train,0.3,128,34,0.265625,16,0.125,1.6015625,0.1328125
code_n24_k12_cw3_019_q03,code_n24_k12_cw3_019,q03,train,0.36,128,64,0.5,30,0.234375,4.0390625,0.359375
code_n24_k12_cw3_020_q00,code_n24_k12_cw3_020,q00,train,0.18,128,11,0.0859375,10,0.078125,0.2578125,0.078125
code_n24_k12_cw3_020_q01,code_n24_k12_cw3_020,q01,train,0.24,128,22,0.171875,14,0.109375,0.75,0.1171875
code_n24_k12_cw3_020_q02,code_n24_k12_cw3_020,q02,train,0.3,128,47,0.3671875,23,0.1796875,2.3046875,0.2109375
code_n24_k12_cw3_020_q03,code_n24_k12_cw3_020,q03,train,0.36,128,75,0.5859375,45,0.3515625,4.1328125,0.453125
code_n24_k12_cw3_021_q00,code_n24_k12_cw3_021,q00,validation,0.18,128,3,0.0234375,1,0.0078125,0.1328125,0.0078125
code_n24_k12_cw3_021_q01,code_n24_k12_cw3_021,q01,validation,0.24,128,15,0.1171875,5,0.0390625,0.765625,0.0546875
code_n24_k12_cw3_021_q02,code_n24_k12_cw3_021,q02,validation,0.3,128,38,0.296875,10,0.078125,1.8828125,0.0859375
code_n24_k12_cw3_021_q03,code_n24_k12_cw3_021,q03,validation,0.36,128,57,0.4453125,21,0.1640625,3.3984375,0.171875
code_n24_k12_cw3_022_q00,code_n24_k12_cw3_022,q00,validation,0.18,128,18,0.140625,11,0.0859375,0.4296875,0.0859375
code_n24_k12_cw3_022_q01,code_n24_k12_cw3_022,q01,validation,0.24,128,42,0.328125,20,0.15625,1.21875,0.1875
code_n24_k12_cw3_022_q02,code_n24_k12_cw3_022,q02,validation,0.3,128,52,0.40625,36,0.28125,1.609375,0.3046875
code_n24_k12_cw3_022_q03,code_n24_k12_cw3_022,q03,validation,0.36,128,84,0.65625,53,0.4140625,3.8046875,0.5625
code_n24_k12_cw3_023_q00,code_n24_k12_cw3_023,q00,validation,0.18,128,15,0.1171875,10,0.078125,0.3671875,0.0859375
code_n24_k12_cw3_023_q01,code_n24_k12_cw3_023,q01,validation,0.24,128,30,0.234375,24,0.1875,0.8671875,0.2109375
code_n24_k12_cw3_023_q02,code_n24_k12_cw3_023,q02,validation,0.3,128,57,0.4453125,47,0.3671875,2.34375,0.4453125
code_n24_k12_cw3_023_q03,code_n24_k12_cw3_023,q03,validation,0.36,128,76,0.59375,55,0.4296875,3.9375,0.6171875
code_n24_k12_cw3_024_q00,code_n24_k12_cw3_024,q00,train,0.18,128,7,0.0546875,0,0.0,0.2890625,0.0
code_n24_k12_cw3_024_q01,code_n24_k12_cw3_024,q01,train,0.24,128,18,0.140625,3,0.0234375,0.6328125,0.0234375
code_n24_k12_cw3_024_q02,code_n24_k12_cw3_024,q02,train,0.3,128,46,0.359375,28,0.21875,2.78125,0.28125
code_n24_k12_cw3_024_q03,code_n24_k12_cw3_024,q03,train,0.36,128,65,0.5078125,33,0.2578125,3.6015625,0.3515625
code_n24_k12_cw3_025_q00,code_n24_k12_cw3_025,q00,train,0.18,128,8,0.0625,1,0.0078125,0.2421875,0.0078125
code_n24_k12_cw3_025_q01,code_n24_k12_cw3_025,q01,train,0.24,128,10,0.078125,6,0.046875,0.4453125,0.0546875
code_n24_k12_cw3_025_q02,code_n24_k12_cw3_025,q02,train,0.3,128,34,0.265625,13,0.1015625,1.6640625,0.109375
code_n24_k12_cw3_025_q03,code_n24_k12_cw3_025,q03,train,0.36,128,64,0.5,33,0.2578125,3.796875,0.3984375
code_n24_k12_cw3_026_q00,code_n24_k12_cw3_026,q00,train,0.18,128,10,0.078125,5,0.0390625,0.359375,0.0390625
code_n24_k12_cw3_026_q01,code_n24_k12_cw3_026,q01,train,0.24,128,22,0.171875,12,0.09375,0.8046875,0.109375
code_n24_k12_cw3_026_q02,code_n24_k12_cw3_026,q02,train,0.3,128,47,0.3671875,25,0.1953125,1.890625,0.21875
code_n24_k12_cw3_026_q03,code_n24_k12_cw3_026,q03,train,0.36,128,74,0.578125,48,0.375,3.96875,0.5
code_n24_k12_cw3_027_q00,code_n24_k12_cw3_027,q00,train,0.18,128,3,0.0234375,1,0.0078125,0.1171875,0.0078125
code_n24_k12_cw3_027_q01,code_n24_k12_cw3_027,q01,train,0.24,128,10,0.078125,2,0.015625,0.53125,0.015625
code_n24_k12_cw3_027_q02,code_n24_k12_cw3_027,q02,train,0.3,128,33,0.2578125,11,0.0859375,1.6484375,0.1015625
code_n24_k12_cw3_027_q03,code_n24_k12_cw3_027,q03,train,0.36,128,58,0.453125,33,0.2578125,3.7265625,0.328125
code_n24_k12_cw3_028_q00,code_n24_k12_cw3_028,q00,train,0.18,128,2,0.015625,0,0.0,0.0859375,0.0
code_n24_k12_cw3_028_q01,code_n24_k12_cw3_028,q01,train,0.24,128,18,0.140625,10,0.078125,0.8671875,0.0859375
code_n24_k12_cw3_028_q02,code_n24_k12_cw3_028,q02,train,0.3,128,30,0.234375,10,0.078125,1.7578125,0.09375
code_n24_k12_cw3_028_q03,code_n24_k12_cw3_028,q03,train,0.36,128,58,0.453125,22,0.171875,3.40625,0.2265625
code_n24_k12_cw3_029_q00,code_n24_k12_cw3_029,q00,train,0.18,128,24,0.1875,21,0.1640625,0.53125,0.171875
code_n24_k12_cw3_029_q01,code_n24_k12_cw3_029,q01,train,0.24,128,47,0.3671875,36,0.28125,1.5625,0.328125
code_n24_k12_cw3_029_q02,code_n24_k12_cw3_029,q02,train,0.3,128,62,0.484375,52,0.40625,2.3828125,0.53125
code_n24_k12_cw3_029_q03,code_n24_k12_cw3_029,q03,train,0.36,128,82,0.640625,62,0.484375,4.0625,0.734375
code_n24_k12_cw3_030_q00,code_n24_k12_cw3_030,q00,validation,0.18,128,16,0.125,10,0.078125,0.4921875,0.078125
code_n24_k12_cw3_030_q01,code_n24_k12_cw3_030,q01,validation,0.24,128,26,0.203125,17,0.1328125,0.90625,0.140625
code_n24_k12_cw3_030_q02,code_n24_k12_cw3_030,q02,validation,0.3,128,44,0.34375,30,0.234375,1.765625,0.2578125
code_n24_k12_cw3_030_q03,code_n24_k12_cw3_030,q03,validation,0.36,128,74,0.578125,57,0.4453125,3.7734375,0.625
code_n24_k12_cw3_031_q00,code_n24_k12_cw3_031,q00,train,0.18,128,17,0.1328125,14,0.109375,0.6015625,0.109375
code_n24_k12_cw3_031_q01,code_n24_k12_cw3_031,q01,train,0.24,128,18,0.140625,7,0.0546875,0.8046875,0.0625
code_n24_k12_cw3_031_q02,code_n24_k12_cw3_031,q02,train,0.3,128,52,0.40625,30,0.234375,2.1796875,0.2578125
code_n24_k12_cw3_031_q03,code_n24_k12_cw3_031,q03,train,0.36,128,76,0.59375,38,0.296875,4.1171875,0.3984375
code_n24_k12_cw3_032_q00,code_n24_k12_cw3_032,q00,train,0.18,128,16,0.125,13,0.1015625,0.359375,0.109375
code_n24_k12_cw3_032_q01,code_n24_k12_cw3_032,q01,train,0.24,128,40,0.3125,34,0.265625,0.9140625,0.28125
code_n24_k12_cw3_032_q02,code_n24_k12_cw3_032,q02,train,0.3,128,64,0.5,44,0.34375,2.46875,0.5
code_n24_k12_cw3_032_q03,code_n24_k12_cw3_032,q03,train,0.36,128,76,0.59375,61,0.4765625,3.3828125,0.671875
code_n24_k12_cw3_033_q00,code_n24_k12_cw3_033,q00,train,0.18,128,6,0.046875,1,0.0078125,0.2265625,0.0078125
code_n24_k12_cw3_033_q01,code_n24_k12_cw3_033,q01,train,0.24,128,9,0.0703125,5,0.0390625,0.2890625,0.0390625
code_n24_k12_cw3_033_q02,code_n24_k12_cw3_033,q02,train,0.3,128,29,0.2265625,9,0.0703125,1.5625,0.0859375
code_n24_k12_cw3_033_q03,code_n24_k12_cw3_033,q03,train,0.36,128,70,0.546875,35,0.2734375,4.0,0.3125
code_n24_k12_cw3_034_q00,code_n24_k12_cw3_034,q00,train,0.18,128,3,0.0234375,1,0.0078125,0.0703125,0.0078125
code_n24_k12_cw3_034_q01,code_n24_k12_cw3_034,q01,train,0.24,128,21,0.1640625,13,0.1015625,0.78125,0.1015625
code_n24_k12_cw3_034_q02,code_n24_k12_cw3_034,q02,train,0.3,128,42,0.328125,23,0.1796875,1.8828125,0.2109375
code_n24_k12_cw3_034_q03,code_n24_k12_cw3_034,q03,train,0.36,128,65,0.5078125,41,0.3203125,3.359375,0.3984375
code_n24_k12_cw3_035_q00,code_n24_k12_cw3_035,q00,test,0.18,128,9,0.0703125,6,0.046875,0.296875,0.046875
code_n24_k12_cw3_035_q01,code_n24_k12_cw3_035,q01,test,0.24,128,23,0.1796875,14,0.109375,0.75,0.109375
code_n24_k12_cw3_035_q02,code_n24_k12_cw3_035,q02,test,0.3,128,39,0.3046875,18,0.140625,2.1640625,0.171875
code_n24_k12_cw3_035_q03,code_n24_k12_cw3_035,q03,test,0.36,128,60,0.46875,36,0.28125,3.328125,0.3984375
code_n24_k12_cw3_036_q00,code_n24_k12_cw3_036,q00,validation,0.18,128,8,0.0625,4,0.03125,0.234375,0.03125
code_n24_k12_cw3_036_q01,code_n24_k12_cw3_036,q01,validation,0.24,128,38,0.296875,23,0.1796875,1.453125,0.203125
code_n24_k12_cw3_036_q02,code_n24_k12_cw3_036,q02,validation,0.3,128,48,0.375,29,0.2265625,1.953125,0.2421875
code_n24_k12_cw3_036_q03,code_n24_k12_cw3_036,q03,validation,0.36,128,66,0.515625,47,0.3671875,3.9609375,0.4765625
code_n24_k12_cw3_037_q00,code_n24_k12_cw3_037,q00,test,0.18,128,9,0.0703125,8,0.0625,0.3515625,0.078125
code_n24_k12_cw3_037_q01,code_n24_k12_cw3_037,q01,test,0.24,128,25,0.1953125,20,0.15625,0.8828125,0.1796875
code_n24_k12_cw3_037_q02,code_n24_k12_cw3_037,q02,test,0.3,128,39,0.3046875,28,0.21875,1.4453125,0.2265625
code_n24_k12_cw3_037_q03,code_n24_k12_cw3_037,q03,test,0.36,128,63,0.4921875,47,0.3671875,3.5546875,0.4296875
code_n24_k12_cw3_038_q00,code_n24_k12_cw3_038,q00,test,0.18,128,10,0.078125,4,0.03125,0.3203125,0.03125
code_n24_k12_cw3_038_q01,code_n24_k12_cw3_038,q01,test,0.24,128,27,0.2109375,10,0.078125,0.9921875,0.078125
code_n24_k12_cw3_038_q02,code_n24_k12_cw3_038,q02,test,0.3,128,44,0.34375,24,0.1875,1.9375,0.2109375
code_n24_k12_cw3_038_q03,code_n24_k12_cw3_038,q03,test,0.36,128,70,0.546875,40,0.3125,3.7265625,0.3984375
code_n24_k12_cw3_039_q00,code_n24_k12_cw3_039,q00,validation,0.18,128,7,0.0546875,4,0.03125,0.2421875,0.03125
code_n24_k12_cw3_039_q01,code_n24_k12_cw3_039,q01,validation,0.24,128,24,0.1875,10,0.078125,0.859375,0.0859375
code_n24_k12_cw3_039_q02,code_n24_k12_cw3_039,q02,validation,0.3,128,40,0.3125,16,0.125,1.703125,0.1328125
code_n24_k12_cw3_039_q03,code_n24_k12_cw3_039,q03,validation,0.36,128,65,0.5078125,37,0.2890625,3.0390625,0.3515625
code_n32_k16_cw3_000_q00,code_n32_k16_cw3_000,q00,train,0.18,128,5,0.0390625,2,0.015625,0.1953125,0.015625
code_n32_k16_cw3_000_q01,code_n32_k16_cw3_000,q01,train,0.24,128,24,0.1875,13,0.1015625,0.9453125,0.109375
code_n32_k16_cw3_000_q02,code_n32_k16_cw3_000,q02,train,0.3,128,39,0.3046875,21,0.1640625,2.2890625,0.1875
code_n32_k16_cw3_000_q03,code_n32_k16_cw3_000,q03,train,0.36,128,68,0.53125,37,0.2890625,4.609375,0.3671875
code_n32_k16_cw3_001_q00,code_n32_k16_cw3_001,q00,train,0.18,128,9,0.0703125,8,0.0625,0.2109375,0.0625
code_n32_k16_cw3_001_q01,code_n32_k16_cw3_001,q01,train,0.24,128,14,0.109375,11,0.0859375,0.5625,0.0859375
code_n32_k16_cw3_001_q02,code_n32_k16_cw3_001,q02,train,0.3,128,44,0.34375,34,0.265625,2.0859375,0.2890625
code_n32_k16_cw3_001_q03,code_n32_k16_cw3_001,q03,train,0.36,128,56,0.4375,42,0.328125,4.1640625,0.421875
code_n32_k16_cw3_002_q00,code_n32_k16_cw3_002,q00,train,0.18,128,15,0.1171875,15,0.1171875,0.25,0.1171875
code_n32_k16_cw3_002_q01,code_n32_k16_cw3_002,q01,train,0.24,128,31,0.2421875,23,0.1796875,1.046875,0.203125
code_n32_k16_cw3_002_q02,code_n32_k16_cw3_002,q02,train,0.3,128,58,0.453125,49,0.3828125,2.6015625,0.484375
code_n32_k16_cw3_002_q03,code_n32_k16_cw3_002,q03,train,0.36,128,70,0.546875,55,0.4296875,4.1640625,0.5546875
code_n32_k16_cw3_003_q00,code_n32_k16_cw3_003,q00,validation,0.18,128,6,0.046875,3,0.0234375,0.234375,0.0234375
code_n32_k16_cw3_003_q01,code_n32_k16_cw3_003,q01,validation,0.24,128,23,0.1796875,14,0.109375,0.9375,0.1171875
code_n32_k16_cw3_003_q02,code_n32_k16_cw3_003,q02,validation,0.3,128,34,0.265625,23,0.1796875,1.7890625,0.203125
code_n32_k16_cw3_003_q03,code_n32_k16_cw3_003,q03,validation,0.36,128,74,0.578125,35,0.2734375,4.6328125,0.3359375
code_n32_k16_cw3_004_q00,code_n32_k16_cw3_004,q00,train,0.18,128,1,0.0078125,0,0.0,0.0625,0.0
code_n32_k16_cw3_004_q01,code_n32_k16_cw3_004,q01,train,0.24,128,14,0.109375,4,0.03125,0.8203125,0.03125
code_n32_k16_cw3_004_q02,code_n32_k16_cw3_004,q02,train,0.3,128,31,0.2421875,14,0.109375,2.390625,0.1171875
code_n32_k16_cw3_004_q03,code_n32_k16_cw3_004,q03,train,0.36,128,54,0.421875,26,0.203125,4.203125,0.25
code_n32_k16_cw3_005_q00,code_n32_k16_cw3_005,q00,train,0.18,128,8,0.0625,4,0.03125,0.3359375,0.03125
code_n32_k16_cw3_005_q01,code_n32_k16_cw3_005,q01,train,0.24,128,11,0.0859375,7,0.0546875,0.40625,0.0546875
code_n32_k16_cw3_005_q02,code_n32_k16_cw3_005,q02,train,0.3,128,35,0.2734375,18,0.140625,1.9296875,0.1484375
code_n32_k16_cw3_005_q03,code_n32_k16_cw3_005,q03,train,0.36,128,70,0.546875,40,0.3125,4.3046875,0.3984375
code_n32_k16_cw3_006_q00,code_n32_k16_cw3_006,q00,train,0.18,128,8,0.0625,4,0.03125,0.3984375,0.03125
code_n32_k16_cw3_006_q01,code_n32_k16_cw3_006,q01,train,0.24,128,15,0.1171875,7,0.0546875,0.609375,0.0625
code_n32_k16_cw3_006_q02,code_n32_k16_cw3_006,q02,train,0.3,128,35,0.2734375,20,0.15625,2.078125,0.171875
code_n32_k16_cw3_006_q03,code_n32_k16_cw3_006,q03,train,0.36,128,59,0.4609375,39,0.3046875,4.1640625,0.3984375
code_n32_k16_cw3_007_q00,code_n32_k16_cw3_007,q00,validation,0.18,128,5,0.0390625,0,0.0,0.1796875,0.0
code_n32_k16_cw3_007_q01,code_n32_k16_cw3_007,q01,validation,0.24,128,13,0.1015625,2,0.015625,0.5390625,0.015625
code_n32_k16_cw3_007_q02,code_n32_k16_cw3_007,q02,validation,0.3,128,34,0.265625,10,0.078125,2.21875,0.0859375
code_n32_k16_cw3_007_q03,code_n32_k16_cw3_007,q03,validation,0.36,128,61,0.4765625,20,0.15625,4.2578125,0.21875
code_n32_k16_cw3_008_q00,code_n32_k16_cw3_008,q00,validation,0.18,128,12,0.09375,10,0.078125,0.3984375,0.0859375
code_n32_k16_cw3_008_q01,code_n32_k16_cw3_008,q01,validation,0.24,128,19,0.1484375,11,0.0859375,0.765625,0.09375
code_n32_k16_cw3_008_q02,code_n32_k16_cw3_008,q02,validation,0.3,128,43,0.3359375,27,0.2109375,2.34375,0.2890625
code_n32_k16_cw3_008_q03,code_n32_k16_cw3_008,q03,validation,0.36,128,68,0.53125,43,0.3359375,4.1640625,0.40625
code_n32_k16_cw3_009_q00,code_n32_k16_cw3_009,q00,train,0.18,128,0,0.0,0,0.0,0.0,0.0
code_n32_k16_cw3_009_q01,code_n32_k16_cw3_009,q01,train,0.24,128,14,0.109375,4,0.03125,0.65625,0.03125
code_n32_k16_cw3_009_q02,code_n32_k16_cw3_009,q02,train,0.3,128,31,0.2421875,13,0.1015625,1.890625,0.125
code_n32_k16_cw3_009_q03,code_n32_k16_cw3_009,q03,train,0.36,128,62,0.484375,34,0.265625,5.0625,0.390625
code_n32_k16_cw3_010_q00,code_n32_k16_cw3_010,q00,train,0.18,128,8,0.0625,6,0.046875,0.2421875,0.046875
code_n32_k16_cw3_010_q01,code_n32_k16_cw3_010,q01,train,0.24,128,23,0.1796875,10,0.078125,0.9453125,0.078125
code_n32_k16_cw3_010_q02,code_n32_k16_cw3_010,q02,train,0.3,128,41,0.3203125,16,0.125,2.1796875,0.1484375
code_n32_k16_cw3_010_q03,code_n32_k16_cw3_010,q03,train,0.36,128,76,0.59375,38,0.296875,4.8515625,0.3984375
